순번,회사명,대표자명,지식산업센터명,공장대표주소,전화번호,팩스번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,공장용지면적(제곱미터),제조시설면적(제곱미터),부대시설면적(제곱미터),업종번호,업종명,용도지역
2462,(주)월드씨포트엔지니어링,김○○,해당없음,"부산광역시 영도구 해양로 33-52 (청학동, (주)우성오션테크영도공장)",051-417-6678,051-418-7975,미등록,미등록,2015-12-21,2025-02-14,0,109.5,47.25,"31114, 28123, 29111, 31111, 31112, 31113, 34019",선박 구성 부분품 제조업 외 6종,도시지역/공업지역/전용공업지역
2463,(주)월드오션,김○○,해당없음,부산광역시 강서구 미음산단3로 142 (미음동),051-462-2554,051-0000-0000,2011-08-10,2011-08-10,2015-03-04,2015-03-04,1796.5,1291.2,298.08,31114,선박 구성 부분품 제조업,도시지역/공업지역/일반공업지역
2464,(주)월드이엔지,강○○,해당없음,부산광역시 강서구 공항앞길85번길 106 (대저2동),미등록,051-331-8885,미등록,미등록,2019-04-30,2019-04-30,1445,429.2,0,25112,구조용 금속 판제품 및 공작물 제조업,도시지역/주거지역/제1종일반주거지역
2465,(주)월드전자,설○○,해당없음,"부산광역시 북구 구만덕로60번길 24, 3층 (만덕동)",051-338-2391,051-338-2392,미등록,미등록,2019-06-28,2019-06-28,301,148.5,152.5,"27215, 27219",기기용 자동측정 및 제어장치 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
2466,(주)월드케이씨피,손○○,해당없음,부산광역시 기장군 정관읍 예림1로 77,051-727-9508,070-4706-3469,미등록,미등록,2023-01-09,2023-01-09,910,247.2,494.4,29162,승강기 제조업,도시지역/주거지역/제2종일반주거지역
2467,(주)월드케이씨피,손○○,해당없음,부산광역시 기장군 정관읍 매곡길 29,051-727-9508,070-4706-3469,미등록,미등록,2023-03-21,2023-03-21,734,329.95,33.05,29162,승강기 제조업,도시지역/공업지역/일반공업지역
2468,(주)월드퍼니처,김○○,해당없음,부산광역시 강서구 녹산화전로 23 (송정동),051-314-3600,051-314-1177,2022-04-27,2022-04-27,2022-05-17,2025-04-18,0,1570.82,203.02,"32029, 32019, 32021, 32091, 32099",기타 목재가구 제조업 외 4종,도시지역/공업지역/일반공업지역
2469,(주)월성,최○○,해당없음,부산광역시 강서구 생곡산단2로 32 (생곡동),051-973-9557,051-973-9558,2014-07-30,2014-07-30,2016-07-19,2024-11-22,6942,2464.32,209.25,25999,그 외 기타 분류 안된 금속 가공 제품 제조업,도시지역/공업지역/일반공업지역
2470,(주)월성레이저,최○,해당없음,부산광역시 강서구 녹산산단289로 86 (송정동),051-832-1191,미등록,2012-01-30,2012-01-30,2012-02-02,2012-02-02,1648.7,1210,165,24199,그 외 기타 1차 철강 제조업,관리지역/계획관리지역
2471,(주)웨스코,류○○,해당없음,부산광역시 기장군 기장읍 배산로8번길 54-11,051-724-7720,051-724-7721,미등록,미등록,2016-05-31,2016-05-31,614.7,300.39,130.8,28123,배전반 및 전기 자동제어반 제조업,도시지역/주거지역/제2종일반주거지역
2472,(주)웨스코일렉트로드,김○○○○○○○,해당없음,부산광역시 강서구 녹산산단261로39번길 2 (송정동),055-261-3406,055-261-9368,2020-08-28,2020-08-28,2021-05-13,2021-05-24,493.8,346.4,196.86,25922,도금업,도시지역/공업지역/일반공업지역
2473,(주)웨이닝코리아 부산지점,윤○○,해당없음,부산광역시 금정구 중앙대로 1784 (부곡동),051-714-7353,051-527-2770,미등록,미등록,2017-12-05,2020-09-21,287.29,70.14,217.15,10602,빵류 제조업,도시지역/주거지역/제1종일반주거지역
2474,(주)웰라뷰,이○○,해당없음,부산광역시 사하구 다대로 351-1 (장림동),미등록,051-262-5554,미등록,미등록,2025-03-19,2025-03-19,60,37,0,20424,표면광택제 및 실내가향제 제조업,도시지역/공업지역/준공업지역
2475,(주)웰락,강○○,해당없음,부산광역시 사하구 다대로354번안길 88 (장림동),051-265-2345,051-265-0196,미등록,미등록,2013-12-03,2013-12-03,1301,214.2,214.2,"25921, 25922",금속 열처리업 외 1종,도시지역/공업지역/준공업지역
2476,(주)웰메이드콘텐츠,이○○,해당없음,"부산광역시 사하구 을숙도대로569번길 36, 1층(신평동)",070-4188-4631,미등록,2023-01-30,2025-08-08,2023-03-13,2025-08-08,975.5,815.5,160,"26211, 26212, 26219, 26310, 26322, 26329, 26421, 26511, 26519, 26529, 28119, 28423",액정 표시장치 제조업 외 11종,도시지역/공업지역/전용공업지역
2477,(주)웰코글로벌,백○○,해당없음,부산광역시 강서구 화전산단5로74번길 30(화전동),미등록,미등록,2025-01-24,2025-01-24,2025-04-04,2025-04-04,1653.3,1145.03,294.45,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
2478,(주)위너골프텍,이○○,해당없음,"부산광역시 동래구 충렬대로 382 (안락동, 에프투시스템)",051-528-7251,051-955-7252,미등록,미등록,2010-03-29,2011-02-16,365.3,158.24,99.16,33402,영상게임기 제조업,도시지역/주거지역/제2종일반주거지역
2479,(주)위너택,이○○,해당없음,부산광역시 사하구 다산로225번길 8 (장림동),051-263-1628,051-265-5681,2007-01-25,미등록,2007-02-06,2015-03-06,1272,490,309.54,25922,도금업,도시지역/공업지역/전용공업지역
2480,(주)위니즈,정○○,해당없음,부산광역시 사상구 감전천로 156 (학장동),051-710-7972,070-8677-7972,2020-12-20,2020-12-20,2020-12-20,2020-12-20,629,360,158.4,"27199, 29199",그 외 기타 의료용 기기 제조업 외 1종,
2481,(주)위니즈,정○○,해당없음,부산광역시 남구 신선로 365 (용당동) 부경대학교용당캠퍼스,051-629-7932,미등록,2019-11-14,2019-11-14,2019-11-14,2019-11-14,275701,50.32,70.64,27199,그 외 기타 의료용 기기 제조업,도시지역/녹지지역/자연녹지지역
2482,(주)위니즈,정○○,해당없음,"부산광역시 남구 신선로 365, 10공학관 110호, 111호(부경대) (용당동, 부경대학교)",051-629-7932,미등록,2019-02-25,2019-02-25,2019-02-25,2019-11-14,0,50.32,70.64,27199,그 외 기타 의료용 기기 제조업,도시지역/주거지역/제2종일반주거지역
2483,(주)위드엔지니어링,이○○,해당없음,부산광역시 강서구 미음국제5로마길 47 (미음동) 강덕모공장,051-292-0113,051-292-0116,2024-11-26,2024-11-26,2024-11-28,2024-11-28,0,370,0,"28119, 26294, 26299, 27212, 28111, 30201, 31114, 31311, 31312, 58222",기타 전기 변환장치 제조업 외 9종,도시지역/공업지역/일반공업지역
2484,(주)위성안테나전자,안○○,해당없음,부산광역시 기장군 일광면 원당2길 3,051-464-0707,051-464-0703,미등록,미등록,2015-09-07,2015-09-07,1737,472.62,584.53,"26429, 26410, 26529",기타 무선 통신장비 제조업 외 2종,도시지역/주거지역/제1종일반주거지역
2485,(주)위스,최○○,수산가공선진화단지,"부산광역시 서구 원양로 1, A동 5층 501 (암남동, 수산가공선진화단지)",051-261-9795,051-262-9792,미등록,미등록,2020-04-22,2020-04-22,0,390.19,264.06,10219,기타 수산동물 가공 및 저장 처리업,도시지역/공업지역/준공업지역
2486,(주)윌리엄자일리톨,강○○,해당없음,부산광역시 기장군 장안읍 오리산단2로 67,051-727-4125,052-248-1107,2021-04-29,2022-06-03,2022-04-07,2023-09-12,3073.1,2008.15,0,10603,과자류 및 코코아 제품 제조업,도시지역/공업지역/일반공업지역
2487,(주)윌텍이엔지,김○○,해당없음,부산광역시 강서구 가락대로1397번길 133-9 (봉림동),051-941-4741,051-941-4745,미등록,미등록,2008-12-11,2008-12-11,990,477.36,0,31114,선박 구성 부분품 제조업,도시지역/주거지역/제1종일반주거지역
2488,(주)유강티에스,전○○,해당없음,부산광역시 사하구 사하로 74-7(구평동),051-208-3639,051-208-3602,미등록,미등록,2022-06-22,2023-07-04,983,339.6,406.15,"22191, 25999, 29199",고무패킹류 제조업 외 2종,도시지역/주거지역/제2종일반주거지역
2489,(주)유건알미늄,임○○,해당없음,부산광역시 기장군 정관읍 예림1로 102,051-532-2805,051-526-9722,미등록,미등록,2022-03-11,2026-03-23,1858,476.3,16.5,22223,플라스틱 창호 제조업,도시지역/주거지역/제2종일반주거지역
2490,(주)유건알미늄,임○○,해당없음,부산광역시 기장군 정관읍 산단5로 67,051-532-2805,051-526-9722,2018-06-14,미등록,2018-06-18,2026-03-23,2797.6,1308.55,459.45,"25111, 25112, 25113","금속 문, 창, 셔터 및 관련제품 제조업 외 2종",도시지역/공업지역/일반공업지역
2491,(주)유광,박○○,해당없음,부산광역시 강서구 대저2동 2503번지,055-346-6533,055-346-6536,미등록,미등록,2013-12-03,2013-12-03,976,494.46,0,29175,기체 여과기 제조업,도시지역/주거지역/제1종일반주거지역
2492,(주)유나이티드인더스트리,군○○○○○○○○○○○,해당없음,부산광역시 강서구 과학산단1로 107 (지사동),055-276-3833,055-261-3833,2023-06-23,2023-06-23,2023-07-25,2023-09-11,1909.6,555.64,478.27,"31114, 25119",선박 구성 부분품 제조업 외 1종,도시지역/공업지역/일반공업지역
2493,(주)유노테크,김○○,해당없음,부산광역시 사하구 감천항로176번길 29 (구평동),051-264-8981,051-264-8982,미등록,미등록,2008-04-25,2012-02-09,708,300.6,0,"30320, 30400",자동차 차체용 신품 부품 제조업 외 1종,도시지역/공업지역/준공업지역
2494,(주)유니다,윤○○,해당없음,부산광역시 북구 의성로115번길 33 (덕천동),051-338-2550,미등록,2000-06-05,미등록,1997-03-25,2026-01-13,3406.02,2481.66,924.36,"13300, 14111, 14112, 14120, 14191, 14192, 14199, 14300",편조원단 제조업 외 7종,도시지역/주거지역/준주거지역
2495,(주)유니버셜리프트앤히타치코리아,유○○,해당없음,부산광역시 강서구 과학산단2로19번길 100-76 (지사동),051-831-4535,051-831-4534,2025-06-25,2025-06-25,2025-06-27,2025-06-27,3981.5,2868.8,1163.39,29162,승강기 제조업,도시지역/공업지역/일반공업지역
2496,(주)유니스디,서○○,보림팩토피아,"부산광역시 금정구 공단동로41번길 10, 1층 105-106호 (금사동)",051-505-2883,051-506-8842,미등록,미등록,2018-05-31,2020-10-20,0,237,0,"26421, 28111, 28123, 28422, 29199, 29299",방송장비 제조업 외 5종,도시지역/공업지역/준공업지역
2497,(주)유니스테크,채○○,해당없음,부산광역시 사상구 모덕로95번길 20-9 (모라동),051-442-3590,051-442-3593,미등록,미등록,2026-03-19,2026-03-19,541.2,26,7,29131,액체 펌프 제조업,도시지역/공업지역/준공업지역
2498,(주)유니온 감천지점,박○○,해당없음,부산광역시 사하구 구평로16번길 51 (구평동),055-635-5324,055-634-5500,2025-03-27,2025-03-27,2025-06-02,2025-11-27,8975.83,7175.22,1800.61,"31114, 31111, 31113",선박 구성 부분품 제조업 외 2종,도시지역/공업지역/일반공업지역
2499,(주)유니온랜드 유코,이○○,해당없음,부산광역시 기장군 기장읍 대변로 144-7,051-722-6788,051-722-6968,미등록,미등록,2013-04-29,2013-07-29,0,192,0,"33301, 33302","체조, 육상 및 체력단련용 장비 제조업 외 1종",도시지역/주거지역/제2종일반주거지역
2500,(주)유니온텍,김○○,해당없음,부산광역시 강서구 미음산단4로 183 (미음동),051-319-1661,051-319-1664,2011-04-18,2011-04-18,2015-09-08,2015-09-08,1682.3,1060.65,1017.72,29120,유압기기 제조업,도시지역/공업지역/일반공업지역
2501,(주)유니원트레이딩,박○○,해당없음,"부산광역시 영도구 해양로111번길 33, 공장A-2동(청학동)",051-903-9555,051-903-9553,미등록,미등록,2022-10-26,2023-03-21,617.5,408.5,209,34019,기타 일반 기계 및 장비 수리업,도시지역/공업지역/전용공업지역
2502,(주)유니콜,양○○○○○○○,해당없음,부산광역시 강서구 녹산산단262로49번길 17 (송정동),051-262-8014,051-262-8015,2010-10-12,미등록,2010-10-27,2019-04-02,1652.9,1080.32,207.55,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
2503,(주)유니크라미,김○○,해당없음,부산광역시 강서구 새진목길11번길 30 (명지동),051-271-6270,051-831-4005,미등록,미등록,2010-12-30,2013-10-28,860,435,64.11,13994,표면처리 및 적층 직물 제조업,도시지역/주거지역/제1종일반주거지역
2504,(주)유니크라미,김○○,해당없음,부산광역시 강서구 미음국제3로 57 (미음동),051-831-4002,051-831-4005,2013-11-21,2013-11-21,2019-10-08,2025-05-29,5396,2062.36,1016.17,"30320, 30399",자동차 차체용 신품 부품 제조업 외 1종,도시지역/공업지역/일반공업지역
2505,(주)유니크온,이○○,해당없음,부산광역시 금정구 놀이마당로 9 (청룡동),미등록,미등록,미등록,미등록,2021-01-14,2021-01-14,124.12,40,84.12,"28123, 26429, 28422",배전반 및 전기 자동제어반 제조업 외 2종,도시지역/주거지역/제2종일반주거지역
2506,(주)유니테크노,이○○○○○○○○○○○○,해당없음,부산광역시 사하구 신산로 140 (신평동),051-203-5460,051-208-4378,2018-08-23,2018-08-23,2020-09-23,2023-08-25,15152.4,17026.67,6597.44,"30391, 30399",자동차용 신품 조향장치 및 현가 장치 제조업 외 1종,도시지역/공업지역/준공업지역
2507,(주)유니테크노 2공장,이○○○○○○○○○○○○,해당없음,부산광역시 강서구 미음국제9로 27 (생곡동),051-203-5460,051-208-4378,2022-04-29,2022-04-29,2025-02-11,2025-03-31,28524.7,26127.64,6639.35,"30391, 30399, 35114",자동차용 신품 조향장치 및 현가 장치 제조업 외 2종,도시지역/공업지역/일반공업지역
2508,(주)유니텍,최○○,해당없음,"부산광역시 사상구 낙동대로902번길 48 (감전동, (주)유니텍)",051-311-4577,051-325-4579,2011-01-07,미등록,2011-01-14,2019-02-21,1408,930.24,100,"22299, 22199, 25200, 25929, 29293, 30320, 30391, 30392, 30393, 30399, 30400, 31202, 31322",그 외 기타 플라스틱 제품 제조업 외 12종,도시지역/공업지역/전용공업지역
2509,(주)유니텍코리아,송○○,해당없음,부산광역시 강서구 과학산단1로 108 (지사동),051-831-0162,미등록,2010-10-01,2025-04-29,2011-01-03,2025-04-29,2330.4,1669.26,444.36,"28123, 28422",배전반 및 전기 자동제어반 제조업 외 1종,관리지역/계획관리지역
2510,(주)유닉스,이○○,해당없음,부산광역시 사상구 학장로95번길 41 (학장동),051-315-0700,051-315-0708,2018-08-22,미등록,2018-12-11,2018-12-11,1983.5,679.75,2354.369,"32091, 32019",금속 가구 제조업 외 1종,도시지역/공업지역/전용공업지역
2511,(주)유디엠,유○○,해당없음,"부산광역시 사하구 낙동대로550번길 37, 창업관 307호(하단동, 동아대학교)",051-203-7633,051-220-7634,2024-02-07,2024-02-07,2025-10-20,2026-04-07,0,56.2,56.2,"29141, 24133, 29142",구름베어링 제조업 외 2종,도시지역/주거지역/제2종일반주거지역
2512,(주)유로티엠오토파트,김○○,해당없음,부산광역시 강서구 가락대로 1268 (봉림동),051-311-2866,051-311-2877,미등록,미등록,2013-05-31,2013-05-31,1273,271.7,144.81,"30331, 30400",자동차용 신품 동력전달장치 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
2513,(주)유림기계,장○○,해당없음,부산광역시 사상구 학장동 722-46,미등록,미등록,2024-12-18,2024-12-18,2025-07-11,2025-07-11,1038,908.56,142.74,29199,그 외 기타 일반목적용 기계 제조업,도시지역/공업지역/일반공업지역
2514,(주)유림수산,유○○,해당없음,부산광역시 사하구 다산로225번길 58 (장림동),051-261-0216,051-265-1277,2006-03-03,미등록,2006-09-13,2021-09-01,3306,1698.69,2798.34,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업",도시지역/공업지역/전용공업지역
2515,(주)유림철강,최○○,해당없음,"부산광역시 강서구 녹산산단261로59번길 42, (송정동 1545-4) (송정동)",051-831-4995,051-831-4997,2018-07-05,미등록,2018-09-20,2018-09-20,0,579.8,82.5,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
2516,(주)유비티코리아,권○○,해당없음,부산광역시 강서구 제도로 701 (강동동),051-642-0105,031-796-7709,미등록,미등록,2009-05-12,2009-05-12,713,299.75,0,"10901, 10902, 10903",반려동물용 사료 제조업 외 2종,도시지역/주거지역/제1종일반주거지역
2517,(주)유성기계 ,김○○,해당없음,부산광역시 기장군 장안읍 오리산단8로 11,051-941-3153,051-941-3154,2021-11-22,2021-11-22,2025-04-29,2025-04-29,3112,943.74,383.85,29175,기체 여과기 제조업,도시지역/공업지역/일반공업지역
2518,(주)유성신소재,김○○○○○○○,해당없음,부산광역시 사상구 가야대로103번길 33 (감전동),051-311-5163,051-311-5164,미등록,미등록,2010-09-15,2015-04-06,1133.9,470.18,319.9,15220,신발 부분품 제조업,도시지역/공업지역/준공업지역
2519,(주)유성신소재 화전지점,김○○○○○○,해당없음,부산광역시 강서구 낙동남로533번길 41 (녹산동),051-311-5163,051-311-5164,2016-04-27,2016-04-27,2017-04-06,2022-02-23,8947.7,2900.38,912.241,15220,신발 부분품 제조업,도시지역/공업지역/일반공업지역
2520,(주)유성아이티엠,문○○○○○○○,해당없음,"부산광역시 강서구 과학산단1로60번길 30, 부산테크노파크 4동 310호 (지사동)",070-5176-6657,미등록,2021-03-15,2021-03-15,2021-04-05,2021-04-05,0,42.56,27.3,26421,방송장비 제조업,도시지역/공업지역/일반공업지역
2521,(주)유성엔텍,이○○,해당없음,부산광역시 기장군 장안읍 좌천2길 43-30 ,051-710-5887,070-7543-5877,2021-11-17,2021-11-17,2021-04-08,2021-11-23,421,234.95,230.09,"28123, 29176",배전반 및 전기 자동제어반 제조업 외 1종,도시지역/주거지역/제1종일반주거지역
2522,(주)유성엘리베이터,하○○,해당없음,부산광역시 사상구 사상로455번길 7 (모라동),051-341-6070,051-342-6070,미등록,미등록,2026-02-02,2026-02-02,272.1,186.62,28.38,29162,승강기 제조업,도시지역/공업지역/준공업지역
2523,(주)유성정밀,성○○,해당없음,부산광역시 사상구 낙동대로 856 (감전동),051-312-4900,051-312-4157,2021-03-26,2021-03-26,2021-03-26,2021-03-26,2767.5,1822.1,462,"24199, 25999, 29221, 31202, 70129",그 외 기타 1차 철강 제조업 외 4종,도시지역/공업지역/준공업지역
2524,(주)유성정밀,성○○,해당없음,부산광역시 사상구 낙동대로 853(감전동),051-312-4900,미등록,2024-05-23,2025-08-18,2025-07-03,2025-08-18,7439.8,4433.15,991.9,"25999, 24121, 29221, 31114, 31202, 35114, 70129",그 외 기타 분류 안된 금속 가공 제품 제조업 외 6종,도시지역/공업지역/일반공업지역
2525,(주)유성철강,성○○,해당없음,부산광역시 사상구 낙동대로 891 (감전동),051-312-4400,051-315-5628,2023-09-15,2023-09-15,2024-04-19,2025-02-13,3305.8,1380.71,946.86,"30399, 25119, 30391, 30392, 30400, 31114, 31202, 35114",그 외 자동차용 신품 부품 제조업 외 7종,도시지역/공업지역/일반공업지역
2526,(주)유솔산업,고○○,해당없음,부산광역시 강서구 미음산단로377번길 5 (미음동) 성광기공,051-929-7492,미등록,2021-01-21,2021-01-21,2021-01-29,2021-01-29,0,731,109.2,"25111, 25112","금속 문, 창, 셔터 및 관련제품 제조업 외 1종",도시지역/공업지역/일반공업지역
2527,(주)유승인네이처   ,차○○○○○,해당없음,부산광역시 기장군 정관읍 산단7로 53,051-524-0044,051-523-0086,2020-02-19,미등록,2020-02-19,2025-11-14,1935,1695.42,585.24,"17902, 35114",위생용 종이제품 제조업 외 1종,도시지역/공업지역/일반공업지역
2528,(주)유승인네이처 2공장,차○○,해당없음,부산광역시 기장군 장안읍 오리산단3로 76,051-7220-094,061-523-0086,2024-02-23,2024-02-23,2024-02-28,2025-11-14,3300.6,2501.66,0,"20423, 35114",화장품 제조업 외 1종,도시지역/공업지역/일반공업지역
2529,(주)유씨네트웍스,이○○,해당없음,"부산광역시 남구 신선로 365, 산학협력관 517호 (용당동, 부경대학교)",051-926-0001,미등록,미등록,미등록,2015-07-17,2015-07-17,0,33.51,56.967,"26421, 26429",방송장비 제조업 외 1종,도시지역/녹지지역/자연녹지지역
2530,(주)유씨네트웍스,이○○,해당없음,부산광역시 남구 유엔로 153-1 (대연동),051-1600-1064,051-955-2789,2026-06-12,미등록,2026-06-12,2026-06-16,138.6,138.6,0,"26410, 26310, 26421, 28423, 29163",유선 통신장비 제조업 외 4종,도시지역/주거지역/제1종일반주거지역
2531,(주)유엔아이텍,박○○,해당없음,부산광역시 기장군 기장읍 청강로91번길 62,051-721-4683,051-721-4684,미등록,미등록,2010-11-22,2010-11-22,1190,593.1,399.76,26322,컴퓨터 모니터 제조업,도시지역/주거지역/제2종일반주거지역
2532,(주)유연,강○○,해당없음,부산광역시 사상구 하신번영로 441 (엄궁동),051-302-3393,051-302-3305,2010-08-02,2010-08-02,2010-08-13,2010-08-13,1745.2,1121.8,164,29133,"탭, 밸브 및 유사장치 제조업",도시지역/공업지역/준공업지역
2533,(주)유영산업,최○○,해당없음,부산광역시 사하구 신산로 14 (신평동),051-831-6511,051-831-6514,2015-08-13,미등록,2015-08-18,2022-11-30,7403.4,10245.48,4222.45,"13402, 70129","직물, 편조원단 및 의복류 염색 가공업 외 1종",도시지역/공업지역/일반공업지역
2534,(주)유영산업,최○○,해당없음,"부산광역시 강서구 화전산단3로 132(화전동, 한일철강공장)",051-831-6511,051-831-6514,2021-07-09,2021-07-09,2021-07-14,2021-07-14,0,1015.38,0,30399,그 외 자동차용 신품 부품 제조업,도시지역/공업지역/일반공업지역
2535,(주)유원 2공장  ,허○○○○○,해당없음,부산광역시 기장군 정관읍 산단4로 48,051-728-7251,051-728-7253,2021-02-24,2021-02-24,2021-02-24,2023-08-09,2501.6,385.84,419.98,30400,자동차 재제조 부품 제조업,도시지역/공업지역/일반공업지역
2536,(주)유원엠텍,한○○,해당없음,부산광역시 강서구 화전산단5로 94 (화전동),051-265-1746,051-265-1748,2015-09-01,미등록,2016-03-03,2020-06-24,3258.4,1995.7,728.88,"31114, 29169, 31111, 31113",선박 구성 부분품 제조업 외 3종,도시지역/공업지역/일반공업지역
2537,(주)유원전기,유○○,해당없음,부산광역시 사하구 장평로132번길 5 (장림동),051-317-3142,051-317-3143,미등록,미등록,2008-02-01,2016-10-28,472,223.8,418.8,"28121, 27212, 28112, 28113, 28119, 28122, 28123","전기회로 개폐, 보호장치 제조업 외 6종",도시지역/공업지역/준공업지역
2538,(주)유원테크,허○○,해당없음,부산광역시 기장군 정관읍 산단3로 92-92 (정관읍),051-913-7200,051-727-7219,2011-03-17,2011-06-13,2011-04-19,2011-07-14,2392,1372,1763.54,"30399, 30391, 30392, 30400",그 외 자동차용 신품 부품 제조업 외 3종,도시지역/공업지역/일반공업지역
2539,(주)유이케미칼,김○○,해당없음,부산광역시 기장군 일광면 청원길 140-38,051-717-2454,052-238-9116,미등록,미등록,2020-11-25,2022-04-14,1810,330.2,30,"20422, 20322","치약, 비누 및 기타 세제 제조업 외 1종",도시지역/녹지지역/자연녹지지역
2540,(주)유진기전,김○○,해당없음,부산광역시 사상구 가야대로 16 (감전동),051-313-0331,미등록,2025-07-10,2025-07-10,2026-03-19,2026-03-19,4019.8,867.13,1841.47,"28122, 28119, 28123, 28302",전기회로 접속장치 제조업 외 3종,도시지역/공업지역/준공업지역
2541,(주)유진다크로,정○○○○○○,해당없음,부산광역시 강서구 녹산산단261로74번길 19 (송정동),051-831-4822,051-831-4825,2002-01-08,미등록,2002-12-11,2018-06-27,2752.8,1598.63,629.84,25929,그 외 기타 금속가공업,도시지역/공업지역/일반공업지역
2542,(주)유진에프에이,유○○,해당없음,부산광역시 강서구 과학산단2로43번길 56 (지사동),051-941-5351,051-941-5352,2013-11-27,미등록,2015-07-06,2015-07-06,2572.99,1495,472.5,28123,배전반 및 전기 자동제어반 제조업,도시지역/공업지역/일반공업지역
2543,(주)유진엔지니어링,변○○,해당없음,부산광역시 사하구 장림번영로84번길 22 (장림동),051-418-2888,051-413-2889,2021-02-18,2021-02-18,2021-12-28,2021-12-28,1597,1052.04,1129.2,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
2544,(주)유진엠씨,김○○,해당없음,부산광역시 강서구 과학산단2로19번길 164 (지사동),051-972-6322,0303-0955-6322,2024-01-18,2024-01-18,2024-06-21,2024-06-21,3947.3,2147.34,1211.54,25923,도장 및 기타 피막처리업,도시지역/공업지역/일반공업지역
2545,(주)유진엠씨,김○○,해당없음,부산광역시 강서구 녹산산단27로 141 (송정동),051-972-6322,30309556322,2016-01-21,미등록,2016-01-22,2016-01-22,1799.8,1427.44,511.11,25923,도장 및 기타 피막처리업,도시지역/공업지역/일반공업지역
2546,(주)유진이엔지     ,김○○○○○○○,해당없음,"부산광역시 금정구 개좌로 271, B동 301 (회동동)",051-746-0717,051-783-0719,2017-06-29,미등록,2017-09-27,2017-09-27,0,384,107,26429,기타 무선 통신장비 제조업,도시지역/공업지역/일반공업지역
2547,(주)유진인터내셔널,박○○,해당없음,"부산광역시 사하구 장림번영로104번길 28, 3층 (장림동)",051-244-0477,미등록,미등록,미등록,2015-09-15,2015-09-15,0,300,96,"14191, 14111, 14112, 14192, 14199",셔츠 및 블라우스 제조업 외 4종,도시지역/공업지역/전용공업지역
2548,(주)유진전력,김○○,해당없음,부산광역시 강서구 녹산산단381로40번길 24 (송정동),051-711-6022,051-791-0005,2017-06-02,미등록,2017-09-01,2019-10-11,0,966.4,61.85,"28123, 28113, 28119",배전반 및 전기 자동제어반 제조업 외 2종,도시지역/공업지역/일반공업지역
2549,(주)유진코메탈,오○○,해당없음,부산광역시 강서구 녹산산업중로 285 (송정동),051-314-0757,051-314-0759,2023-08-23,2025-03-17,2023-12-15,2025-03-25,3984.7,1461.66,553.23,"25941, 25113, 25912, 25942, 25999",볼트 및 너트류 제조업 외 4종,도시지역/공업지역/일반공업지역
2550,(주)유창강건,안○○,해당없음,"부산광역시 사상구 사상로425번길 35 (모라동, (주)유창강건)",051-303-6773,051-305-6773,미등록,미등록,2004-07-13,2004-07-13,1732.6,1917.85,495,25112,구조용 금속 판제품 및 공작물 제조업,도시지역/공업지역/준공업지역
2551,(주)유창금속,남○○,해당없음,"부산광역시 사상구 새벽로 164 (감전동, (주)유창금속)",051-313-9900,051-326-7149,미등록,미등록,2006-09-12,2006-09-12,683,301.15,144,24199,그 외 기타 1차 철강 제조업,도시지역/공업지역/준공업지역
2552,(주)유창기공,유○○,해당없음,부산광역시 사상구 사상로 57-12 (주례동),051-325-5575,051-323-6387,1998-01-01,미등록,1995-07-21,2016-06-29,396.7,242.88,67.2,29229,기타 가공 공작기계 제조업,도시지역/공업지역/준공업지역
2553,(주)유창상사,황○○○,해당없음,부산광역시 사하구 구평로16번길 24 (구평동),051-266-2325,051-266-2324,미등록,미등록,2012-11-06,2012-11-06,1508,452.61,905.22,"10301, 10302",김치류 제조업 외 1종,도시지역/공업지역/일반공업지역
2554,(주)유창에스엔티,나○○,해당없음,부산광역시 기장군 정관읍 산단5로 100-136,051-1688-0465,051-980-0022,2022-03-11,2022-03-11,2022-03-17,2022-03-17,2277,906.03,131.34,23919,기타 석제품 제조업,도시지역/공업지역/일반공업지역
2555,(주)유창유압,김○○,해당없음,"부산광역시 사상구 사상로433번길 12 (모라동, 대용식품)",051-304-0151,051-304-0153,미등록,미등록,2012-12-05,2020-04-20,671.3,436.34,38.74,29120,유압기기 제조업,도시지역/공업지역/준공업지역
2556,(주)유케이엠에스 코퍼레이션,류○○,해당없음,부산광역시 영도구 남항남로19번길 10 (남항동3가),070-4207-9726,051-418-9900,미등록,미등록,2020-09-21,2020-09-21,40,40,0,31114,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역
2557,(주)유티케이,정○○,해당없음,부산광역시 강서구 과학산단1로103번길 17 (지사동),052-227-3963,052-227-3603,2021-03-19,2021-03-19,2021-04-01,2021-04-01,2275.6,1619.42,236.2,25924,절삭가공 및 유사처리업,도시지역/공업지역/일반공업지역
