통합키,사이트,원본공고ID,회사명,회사키,공고제목,직무,직무상세,직무키워드,담당업무,자격요건,우대사항,직종,직종코드,직종명,직종대분류코드,직종대분류,직종코드근거,업종,직급직책,근무요일,근무시작,근무종료,근무시간,급여형태,급여최소,급여최대,급여,채용인원,채용인원구분,모집인원원문,학력,경력구분,최소연차,고용형태,고용형태표준,알바여부,시도,시군구,지역원문,상세주소,기술스택,마감일,마감구분,원본_직무,원본_경력,원본_고용형태,원본_지역,원본_마감일,공고URL,외부원본ID,수집시각,부산판정근거
,잡코리아,49612325,엠즈씨드㈜,엠즈씨드,[폴 바셋] 정규직 바리스타 모집 [서울/경기/부산/제주],바리스타,"바리스타 - 코엑스몰점, 바리스타 - 강남삼성타운점, 바리스타 - 일원역점, 바리스타 - 교대역점, 바리스타 - 롯데백화점 잠실점, 바리스타 - 파미에스테이션점, 바리스타 - 뉴코아 강남점, 바리스타 - 교보문고 강남점, 바리스타 - 현대아울렛 김포점, (마감)바리스타 - 현대아울렛 남양주점, 바리스타 - 롯데몰 동부산점, 바리스타 - 제주공항 국내선점",,,경력 신입·경력 (직급별 상이) 학력 학력무관 스킬,"기본우대 인근거주자, 취업보호대상자, 유관업무 경험자(인턴·알바), 보훈대상자, 관련 학과 전공자, 관련 자격증 보유자, 리더쉽 소유자, 유관업무 경력자(1년), 즉시출근 가능자, 장기근무 가능자",,,,,,,커피 전문점,,주 5일,,,주 5일 (주말 포함한 스케줄 근무) 운영 및 근무 시간 매장별 상이,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,경력,,정규직,정규직,,서울,강남구,서울 강남구,"서울 강남구 영동대로 513 (삼성동, 코엑스) 코엑스몰 P104호 지도보기 서울 서초구 서초대로78길 22 (서초동, 홍우제2빌딩) 홍우제2빌딩 1층 지도보기 서울 강남구 일원로 121 (일원동, 일원역) 101호 지도보기 서울 서초구 서초대로 287 (서초동, 석정빌딩) 석정빌딩 1층 지도보기 서울 송파구 올림픽로 240 (잠실동, 롯데월드) 지하 1층",,2026-09-19,기한,바리스타,신입·경력,정규직,서울 강남구,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49612325,,2026-09-07 17:21:56,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49785826,국민유통,국민유통,급구) 부산 우유 및 치즈 유제품 납품 및 배송기사 모집- 1톤탑차운전가능,"유제품 납품 및 매장관리, 매장관리, 매장, 배송, 기사, 운전, 배송기사",유제품 납품 및 매장관리,,부산지역 마트 및 거래처에 우유 및 치즈 유제품 배송 및 납품 스킬 ㆍ1종보통운전면허,경력 경력무관 학력 학력무관 스킬,"기본우대 인근거주자, 차량소지자, 운전가능자, 유관업무 경험자(인턴·알바), 즉시출근 가능자, 장기근무 가능자",,,,,,,음ㆍ식료품 및 담배 중개업,,주6일(월~토),06:00,15:00,주6일(월~토) 06:00 ~ 15:00 납품완료시 조기퇴근가능,연봉,3600,,연봉 3600만원 ~ 0만원,1,명시,1,,무관,0,"정규직, 계약직","계약직, 정규직",,경남,김해시,경남 김해시,경남 김해시 대동면 주중길 29 (주중리) 1층,,2026-09-13,기한,유제품 납품 및 매장관리,경력무관,"정규직, 계약직",경남 김해시,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49785826,,2026-09-07 17:24:34,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49785896,부국상운㈜,부국상운,선박해운대리점 경력 직원 채용 공고-경력별 연봉협의,"선박해운대리점, 선박, 직원",,,,,,,,,,,,,,,,,,,,,,,없음,,초대졸 이상,경력,,정규직,정규직,,울산,남구,울산 남구,울산 남구 장생포고래로 267-1 (매암동),,2026-09-13,기한,선박해운대리점,경력,정규직,울산 남구,2026-09-13,https://www.jobkorea.co.kr/Recruit/GI_Read/49785896,,2026-09-07 17:24:38,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49905987,LX세미콘,lx세미콘,2026년 9월 석사 채용연계형 인턴 채용 (대구/부산),"SerDes Architect, Analog Design, Logic Design, SW Architect",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,신입,0,인턴,인턴,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,"SerDes Architect, Analog Design, Logic Design, SW Architect",신입,인턴,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49905987,,2026-09-07 17:28:18,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906135,LX세미콘,lx세미콘,2026년 9월 석사 채용연계형 인턴 채용 (부산-Analog Design),Analog Design,,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,신입,0,인턴,인턴,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,Analog Design,신입,인턴,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906135,,2026-09-07 17:28:18,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906152,LX세미콘,lx세미콘,2026년 9월 석사 채용연계형 인턴 채용 (부산- Logic Design),Logic Design,,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,신입,0,인턴,인턴,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,Logic Design,신입,인턴,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906152,,2026-09-07 17:28:19,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906241,LX세미콘,lx세미콘,2026년 9월 석사 채용연계형 인턴 채용 (부산-SW Architect),SW Architect,,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,신입,0,인턴,인턴,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,SW Architect,신입,인턴,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906241,,2026-09-07 17:28:19,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906530,LX세미콘,lx세미콘,2026년 9월 박사 신입사원 채용 (대구/부산),"SerDes Architect, Analog Design, Logic Design, SW Architect, 사원, 신입사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(박사) 이상,신입,0,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,"SerDes Architect, Analog Design, Logic Design, SW Architect",신입,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906530,,2026-09-07 17:28:19,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906703,LX세미콘,lx세미콘,2026년 9월 박사 신입사원 채용 (부산- Logic Design),"Logic Design, 사원, 신입사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(박사) 이상,신입,0,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,Logic Design,신입,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906703,,2026-09-07 17:28:20,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906745,LX세미콘,lx세미콘,2026년 9월 박사 신입사원 채용 (부산-SW Architect),"SW Architect, 사원, 신입사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(박사) 이상,신입,0,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,SW Architect,신입,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906745,,2026-09-07 17:28:20,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49907099,LX세미콘,lx세미콘,2026년 9월 경력사원 채용 (대구/부산),"SerDes Architect, Digital Design, Analog Design, System & Software, 사원, 경력사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대졸 이상,경력,,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,"SerDes Architect, Digital Design, Analog Design, System & Software",경력,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49907099,,2026-09-07 17:28:20,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49906681,LX세미콘,lx세미콘,2026년 9월 박사 신입사원 채용 (부산-Analog Design),"Analog Design, 사원, 신입사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(박사) 이상,신입,0,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,Analog Design,신입,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49906681,,2026-09-07 17:28:21,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49907216,LX세미콘,lx세미콘,2026년 9월 경력사원 채용 (부산-Digital Design),"Digital Design, 사원, 경력사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,경력,,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,Digital Design,경력,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49907216,,2026-09-07 17:28:21,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49907248,LX세미콘,lx세미콘,2026년 9월 경력사원 채용 (부산- Analog Design),"Analog Design, 사원, 경력사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,경력,,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,Analog Design,경력,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49907248,,2026-09-07 17:28:21,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49907270,LX세미콘,lx세미콘,2026년 9월 경력사원 채용 (부산- System & Software),"System & Software, 사원, 경력사원",,,,,,,,,,,,,,,,,,,,,,,없음,,대학원(석사) 이상,경력,,정규직,정규직,,,이며  자세한 조건은 공고를 통해 확,"이며, 자세한 조건은 공고를 통해 확인할 수 있습니다","이며, 자세한 조건은 공고를 통해 확인할 수 있습니다",,2026-09-14,기한,System & Software,경력,정규직,,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49907270,,2026-09-07 17:28:21,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49596885,㈜휴머니스트,휴머니스트,[TOM FORD] 명품 톰포드 코리아 서울/경기/부산/대구 점장/부점장/판매사원,"톰포드 코리아 매장관리 및 판매사원, 점장, 판매, 사원, 판매사원",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,정규직,정규직,,서울,서초구,서울 서초구,서울 서초구 신반포로 176 (반포동,,2026-09-14,기한,톰포드 코리아 매장관리 및 판매사원,신입·경력,정규직,서울 서초구,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49596885,,2026-09-07 17:29:22,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49620137,베이스코리아아이씨㈜,베이스코리아아이씨,"HP 서버,네트워크 기술-서울(구로)1명,부산(해운대)1명","HP 서버, 네트워크 기술-서울1명, 부산1명, 서버, 네트워크",,,,,,,,,,,,,,,,,,연봉,3500,4001,"연봉 35,000,000원 ~ 40,010,000원",,없음,,초대졸 이상,경력,,정규직,정규직,,서울,구로구,서울 구로구,서울 구로구 디지털로26길 5 (구로동,,2026-09-19,기한,"HP 서버,네트워크 기술-서울1명,부산1명",신입·경력,정규직,서울 구로구,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49620137,,2026-09-07 17:29:34,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49620128,베이스코리아아이씨㈜,베이스코리아아이씨,"HP 서버,네트워크 영업-서울(구로)1명,부산(해운대)1명","HP 서버, 네트워크 영업-서울1명, 부산1명, 서버, 네트워크, 영업",,,,,,,,,,,,,,,,,,연봉,3500,4001,"연봉 35,000,000원 ~ 40,010,000원",,없음,,초대졸 이상,경력,,정규직,정규직,,서울,구로구,서울 구로구,서울 구로구 디지털로26길 5 (구로동,,2026-09-19,기한,"HP 서버,네트워크 영업-서울1명,부산1명",신입·경력,정규직,서울 구로구,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49620128,,2026-09-07 17:29:34,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49620822,㈜디알에스,디알에스,"주)디알에스 약국 방문 영업 컨설턴트 모집 (부산,경남)","약국영업관리, 영업",,,,,,,,,,,,,,,,,,연봉,3060,5501,"연봉 30,600,000원 ~ 55,010,000원",,없음,,초대졸 이상,경력,,정규직,정규직,,경남,양산시,경남 양산시,경남 양산시 동면 금산리,,2026-09-19,기한,약국영업관리,신입·경력,정규직,경남 양산시,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49620822,,2026-09-07 17:29:40,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49622827,㈜직방,직방,[직방] 중개사무소(APT) 광고 영업매니저 - 부산,"중개사무소 대상 광고 영업 매니저, 사무, 광고, 영업, 매니저, 영업매니저",중개사무소 대상 광고 영업 매니저,,,경력 경력무관 학력 학력무관,,,,,,,,모바일·APP,,주5일(월~금),09:30,18:30,주5일(월~금) 09:30 ~ 18:30,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,무관,0,계약직,계약직,,서울,강남구,서울 강남구,"서울 강남구 영동대로 731 (청담동, 신영빌딩) 지하 2층 (청담동,신영빌딩)",,2026-09-19,기한,중개사무소 대상 광고 영업 매니저,경력무관,계약직,서울 강남구,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49622827,,2026-09-07 17:30:07,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49808076,오행종합개발㈜,오행종합개발,건물 미화원 모집 (인천 서부산업단지),미화원,,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,정규직,정규직,,인천,서해구,인천 서해구,인천 서해구 사렴로31번길 21 (경서동),,2026-09-18,기한,미화원,경력무관,정규직,인천 서해구,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49808076,,2026-09-07 17:31:21,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49808105,디보인터내셔널(유),디보인터내셔널,해운대리점 회계업무지원,"해운대리점 회계업무, 회계",,,,,,,,,,,,,,,,,,연봉,4000,5001,"연봉 40,000,000원 ~ 50,010,000원",,없음,,학력무관,경력,,정규직,정규직,,서울,강남구,서울 강남구,서울 강남구 논현로75길 5-2 (역삼동),,2026-09-18,기한,해운대리점 회계업무,경력,정규직,서울 강남구,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49808105,,2026-09-07 17:31:24,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49779941,㈜동부산컨트리클럽,동부산컨트리클럽,동부산컨트리클럽 여자락카 담당직원 채용공고,"락카 관리, 당직, 담당직원",,,,,,,,,,,,,,,,,,연봉,3000,,"연봉 30,000,000원",,없음,,고졸 이상,무관,0,정규직,정규직,,경남,양산시,경남 양산시,경남 양산시 매곡외산로 282 (매곡동),,2026-09-12,기한,락카 관리,경력무관,정규직,경남 양산시,2026-09-12,https://www.jobkorea.co.kr/Recruit/GI_Read/49779941,,2026-09-07 17:34:29,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49802308,㈜퍼스트이엔씨,퍼스트이엔씨,"미화원 채용 [강동구 길동 센텀1차, 센텀2차, 골드클래스]","미화관리, 미화원",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,계약직,계약직,,서울,강동구,서울 강동구,서울 강동구 천중로42길 77 (길동,,2026-09-17,기한,미화관리,경력무관,계약직,서울 강동구,2026-09-17,https://www.jobkorea.co.kr/Recruit/GI_Read/49802308,,2026-09-07 17:36:59,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49814718,㈜파고다아카데미,파고다아카데미,[파고다교육그룹] 서울/부산 영어회화·토익·오픽 등 영어 강사님,"파고다 영어 선생님, 교육, 강사, 파고다교육그룹",,,,,,,214101,영어 강사,2,교육·법률·사회복지·경찰·소방·군인,추정,,,,,,,,,,,,없음,,대졸 이상,경력,,계약직,계약직,,서울,서초구,서울 서초구,서울 서초구 강남대로 419 (서초동,,2026-09-20,기한,파고다 영어 선생님,신입·경력,계약직,서울 서초구,2026-09-20,https://www.jobkorea.co.kr/Recruit/GI_Read/49814718,,2026-09-07 17:38:37,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49597200,㈜월드비전종합물류,월드비전종합물류,아워홈 식자재 배송기사/ 양산-부산 /유류비 톨비 지원 / 2.5톤 3.5톤투냉,"물류운송, 배송, 기사, 배송기사",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,정규직,정규직,,경남,양산시,경남 양산시,경남 양산시 어곡동,,2026-09-14,기한,물류운송,경력무관,정규직,경남 양산시,2026-09-14,https://www.jobkorea.co.kr/Recruit/GI_Read/49597200,,2026-09-07 17:39:02,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49809198,선양해운㈜,선양해운,선박 입출항 수속 및  해운대리,"선박입출항수속 해운대리, 선박",,,,,,,,,,,,,,,,,,연봉,4000,4001,"연봉 40,000,000원 ~ 40,010,000원",,없음,,학력무관,무관,0,정규직,정규직,,전남,여수시,전남 여수시,전남 여수시 광무동,,2026-09-18,기한,선박입출항수속 해운대리,경력무관,정규직,전남 여수시,2026-09-18,https://www.jobkorea.co.kr/Recruit/GI_Read/49809198,,2026-09-07 17:40:48,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49815277,삼익전자공업㈜,삼익전자공업,"LED 전광판 A/S  채용 (정규직)-서울, 대전, 대구, 부산지사 모집","LED전광판 A, S",,,,,,,,,,,,,,,,,,,,,,,없음,,초대졸 이상,무관,0,정규직,정규직,,서울,강남구,서울 강남구,서울 강남구 강남대로 560 (논현동,,2026-09-19,기한,LED전광판 A/S,경력무관,정규직,서울 강남구,2026-09-19,https://www.jobkorea.co.kr/Recruit/GI_Read/49815277,,2026-09-07 17:42:45,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49900295,조광통운,조광통운,"(울산, 부산, 경남 ) 탱크로리  기사모집 (회사차량 임대가능)",기사,,,,,,,,,,,,,,,,,,월급,600,801,"월급 6,000,000원 ~ 8,010,000원",,없음,,학력무관,무관,0,계약직,계약직,,울산,울주군,울산 울주군,울산 울주군 온산읍 당월로 322 (이진리),,2026-09-16,기한,"조광통운에서 계약직 경력무관 채용을 진행합니다. 근무지는 울산 울주군 온산읍 당월로 322 (이진리)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,계약직,울산 울주군,2026-09-16,https://www.jobkorea.co.kr/Recruit/GI_Read/49900295,,2026-09-07 17:43:18,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49642497,㈜휴머니스트,휴머니스트,[JIMMY CHOO] 명품 지미추 코리아 서울/부산 지역 매장 판매사원 채용,"판매, 사원, 판매사원, 매장",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,"정규직, 계약직","계약직, 정규직",,서울,서초구,서울 서초구,서울 서초구 신반포로 176 (반포동,,2026-09-22,기한,"㈜휴머니스트에서 정규직 경력무관 채용을 진행합니다. 근무지는 서울 서초구 신반포로 176 (반포동, 센트럴시티)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,"정규직, 계약직",서울 서초구,2026-09-22,https://www.jobkorea.co.kr/Recruit/GI_Read/49642497,,2026-09-07 17:53:18,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49645193,㈜명보아이엔씨,명보아이엔씨,"[서울, 부산] 파텍필립 명품시계 판매사원 채용 (영어가능자)","판매, 사원, 판매사원",,,,,,,,,,,,,,,,,,월급,280,,"월급 2,800,000원",,없음,,학력무관,무관,0,정규직,정규직,,서울,용산구,서울 용산구,서울 용산구 장문로 35 (동빙고동),,2026-09-22,기한,"㈜명보아이엔씨에서 정규직 경력무관 채용을 진행합니다. 근무지는 서울 용산구 장문로 35 (동빙고동)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,정규직,서울 용산구,2026-09-22,https://www.jobkorea.co.kr/Recruit/GI_Read/49645193,,2026-09-07 17:53:42,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49650061,㈜카비,카비,[부산/울산/경남/충청/전라] 신규고객 발굴/사업개발/영업(지방근무가능자),"사업개발, 영업",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,경력,,"정규직, 계약직","계약직, 정규직",,서울,금천구,서울 금천구,서울 금천구 디지털로 178 (가산동),,2026-09-22,기한,"㈜카비에서 정규직 경력 채용을 진행합니다. 근무지는 서울 금천구 디지털로 178 (가산동)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력,"정규직, 계약직",서울 금천구,2026-09-22,https://www.jobkorea.co.kr/Recruit/GI_Read/49650061,,2026-09-07 18:04:43,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49830054,㈜딜리버리랩,딜리버리랩,[딜리버리랩] 대구/부산 영업담당자 채용 (정규직),"영업, 영업담당자",,,,,,,,,,,,,,,,,,,,,,,없음,,학력무관,무관,0,정규직,정규직,,대구,달서구,대구 달서구,대구 달서구 문화회관길 133 (장기동),,2026-09-20,기한,"㈜딜리버리랩에서 정규직 경력무관 채용을 진행합니다. 근무지는 대구 달서구 문화회관길 133 (장기동)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,정규직,대구 달서구,2026-09-20,https://www.jobkorea.co.kr/Recruit/GI_Read/49830054,,2026-09-07 18:06:26,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49678184,㈔세계교육문화원,㈔세계교육문화원,"NGO대면모금 부산,제주 프리랜서 모집","나눔마케팅부, 마케팅",나눔마케팅부,,"정기후원자 모집 캠페인 진행 스킬 ㆍ스피치, 커뮤니케이션스킬","경력 경력 (1년이상) 학력 고졸이상 스킬 , 스피치, 커뮤니케이션스킬","기본우대 봉사활동 경험, 인근거주자, 운전가능자, 유관업무 경험자(인턴·알바), 리더쉽 소유자, 유관업무 경력자(1년), 즉시출근 가능자, 장기근무 가능자",,024102,마케팅 전문가,0,경영·사무·금융·보험,추정,그 외 기타 협회 및 단체,,주6일(월~토),09:00,18:00,주6일(월~토) 09:00 ~ 18:00,회사내규,,,회사 내규에 따름 (면접 후 결정),1,명시,1,,경력,,계약직,계약직,,서울,금천구,서울 금천구,서울 금천구 가산디지털1로 145 (가산동) 1604호,,2026-09-27,기한,"㈔세계교육문화원에서 경력 채용을 진행합니다. 근무지는 서울 금천구 가산디지털1로 145 (가산동)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력,계약직,서울 금천구,2026-09-27,https://www.jobkorea.co.kr/Recruit/GI_Read/49678184,,2026-09-07 18:08:29,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49835124,원업크리에이티브,원업크리에이티브,"[울산,부산,서울]마케팅에 관심있는 치과위생사 채용","마케팅, 치과위생사, 치과",,,,,,,306400,치과위생사,3,보건·의료,추정,,,,,,,연봉,3000,4001,"연봉 30,000,000원 ~ 40,010,000원",,없음,,초대졸 이상,무관,0,정규직,정규직,,울산,남구,울산 남구,울산 남구 대학로 157 (무거동),,2026-09-23,기한,"원업크리에이티브에서 정규직 경력무관 채용을 진행합니다. 근무지는 울산 남구 대학로 157 (무거동)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,정규직,울산 남구,2026-09-23,https://www.jobkorea.co.kr/Recruit/GI_Read/49835124,,2026-09-07 18:12:39,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49684254,㈜세마그룹,세마그룹,[서울/대구/부산] 병원 Marketing 컨설턴트 (신입/경력),,,,,,,,,,,,,,,,,,,,,,,,없음,,대졸 이상,무관,0,정규직,정규직,,서울,,대한민국 서울특별시,대한민국 서울특별시 서초구 강남대로 241,,2026-09-28,기한,"㈜세마그룹에서 정규직 경력무관 채용을 진행합니다. 근무지는 대한민국 서울특별시 서초구 강남대로 241, 17F이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,정규직,대한민국 서울특별시,2026-09-28,https://www.jobkorea.co.kr/Recruit/GI_Read/49684254,,2026-09-07 18:17:34,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49836390,㈜디에프아이,디에프아이,"체외진단의료기  해외영업 사원모집-부산, 김해 통근차 운행(워라벨 보장)","해외영업, 사원",,,,,,,,,,,,,,,,,,연봉,3200,,"연봉 32,000,000원",,없음,,대졸 이상,경력,,정규직,정규직,,경남,김해시,경남 김해시,경남 김해시 진례면 고모로 388-25 (담안리),,2026-09-23,기한,"㈜디에프아이에서 정규직 신입·경력 채용을 진행합니다. 근무지는 경남 김해시 진례면 고모로 388-25 (담안리)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",신입·경력,정규직,경남 김해시,2026-09-23,https://www.jobkorea.co.kr/Recruit/GI_Read/49836390,,2026-09-07 18:20:45,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49856602,㈜대우로직스,대우로직스,"부산,울산,경상권-5톤윙바디/화물차운전/쿠팡 외 대기업물량/본사배차/초보","5톤화물차운전, 화물, 운전",5톤화물차운전,,,경력 신입·경력 학력 학력무관 스킬,자격증 화물운송종사자격증,,,,,,,"화물운송 중개, 대리 및 관련 서비스업",,협의,00:00,00:00,협의가능 00:00 ~ 00:00 탄력근무제 주/야간 선택 가능,연봉,5000,6000,연봉 5000만원 ~ 6000만원,1,명시,1,,경력,,"정규직, 계약직","계약직, 정규직",,울산,남구,울산 남구,울산 남구 테크노산업로55번길 49-20 (두왕동) 물류센터,,2026-09-25,기한,"㈜대우로직스에서 정규직 신입·경력 채용을 진행합니다. 근무지는 울산 남구 테크노산업로55번길 49-20 (두왕동)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",신입·경력,"정규직, 계약직",울산 남구,2026-09-25,https://www.jobkorea.co.kr/Recruit/GI_Read/49856602,,2026-09-07 18:25:32,제목엔 부산이나 근무지주소가 타지역
,잡코리아,49873188,에브리어스,에브리어스,[부산/경남/울산]경정청구 컨설팅 파트너(초보/경력 프리랜서/조직장),,,,,,,,,,,,,,,,,,,연봉,8000,15001,"연봉 80,000,000원 ~ 150,010,000원",,없음,,학력무관,무관,0,계약직,계약직,,대구,달성군,대구 달성군,대구 달성군 유가읍 테크노중앙대로 240 (봉리),,2026-09-27,기한,"에브리어스에서 경력무관 채용을 진행합니다. 근무지는 대구 달성군 유가읍 테크노중앙대로 240 (봉리)이며, 자세한 조건은 공고를 통해 확인할 수 있습니다.",경력무관,계약직,대구 달성군,2026-09-27,https://www.jobkorea.co.kr/Recruit/GI_Read/49873188,,2026-09-07 18:31:15,제목엔 부산이나 근무지주소가 타지역
