직무토큰,건수,직종코드,메모,후보1,후보2,후보3,예시1,예시2,예시3
공사현장관리과장급,1,,,542003 공사현장 경비원,901502 식물 관리원,542000 건물 관리원,실내인테리어  현장관리소장 모집합니다. (경력필),,
김해국제공항vip의전서비스전담,1,,,624201 퀵서비스 배달원,"615302 통신서비스 판매원(인터넷,IPTV 가입)",524002 테마파크 서비스원,김해국제공항 VIP 의전 서비스 전담직원 모집,,
오후리셉션,1,,,,,,수영장 안내데스크 [오후 리셉션] 직원 채용,,
판매직,1,,,"615211 꽃 판매원(플로리스트, 토피어리어 포함)","615212 기타 판매원(사무용품,도서,음반 포함 잡화 등)",615209 가전 판매원(컴퓨터 포함),[부산] (주)카맨 중고차 딜러 채용,,
식기세척,1,,,,,,"페어필드 바이 메리어트 송도  스튜어딩(식기세척,기물관리)",,
실장급,1,,,,,,웨딩드레스샵 메이크업직원구인(경력),,
의료기기영업직원,1,,,832904 의료기기·장비 설치·수리원,153304 전자의료기기 개발 기술자 및 연구원,612105 의료장비 기술영업원,의료기기 영업직원 채용,,
영업직원,1,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,의료기기 영업직원 채용,,
운영관리총괄,1,,,136102 네트워크 관리자(클라우딩컴퓨터운영관리자),136200 웹 운영자(홈페이지 관리자),135102 데이터베이스 운영·관리자,(주)겐츠베이커리 COO (운영총괄책임자) 채용,,
중고등파트국어선생님,1,,,214201 국어 강사,212101 국어 교사,214104 한국어 강사(다문화 언어지도사 포함),중고등 파트 국어선생님 모십니다.,,
중고등파트국어선생님모십니다,1,,,214201 국어 강사,212101 국어 교사,214104 한국어 강사(다문화 언어지도사 포함),중고등 파트 국어선생님 모십니다.,,
포토그래퍼,1,,,133206 게임 프로그래머,415503 그래픽아트 기술자,133205 네트워크 프로그래머,스튜디오 실장님 모집공고,,
포토그래퍼모집,1,,,133206 게임 프로그래머,415503 그래픽아트 기술자,133205 네트워크 프로그래머,스튜디오 실장님 모집공고,,
내시경실,1,,,,,,[연세미래IFC] 내시경실 파트별(채혈·세척·회복·이송) 채용,,
전산입력,1,,,029502 전산자료 입력원(약국·판매·대리점),029501 전산자료 입력원(DB·단순자료),029500 전산 자료 입력원,[가족친화인증기업](주)힘콤 LG유플러스 대리점 전산입력원 모집,,
가족친화인증기업,1,,,011300 기업 대표 및 기업 고위 임원,222003 법무 사무원(일반 기업체),231202 가족·학교·아동·청소년·노인·중독 등 상담 전문가,[가족친화인증기업](주)힘콤 LG유플러스 대리점 전산입력원 모집,,
pc유지보수,1,,,705200 철로 설치 및 보수원,702901 건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),836002 PCB 부품·제품 조립·검사원,IT Helpdesk(PC 유지보수),,
조제보조및전삼,1,,,215300 교사보조 및 관련 종사원,215900 기타 교사보조 및 아동돌봄 종사원,823302 주조 보조원(견습공),동래역 맞은편 미래약국에서 함께 근무하실 직원분 모십니다.,,
도면,1,,,,,,3d도면직원구합니다(스케치업),,
견적및공사현장관리,1,,,542003 공사현장 경비원,153105 전기공사 기술자(전기견적 포함),901502 식물 관리원,영점일디자인에서 현장팀을 모집합니다.,,
현장면접15개업체,1,,,701901 건설현장반장,140301 토목 현장소장,140201 건축 현장소장,『2026 중구 그 잡(JOB)채(採) 일자리박람...,,
정규직팀장,1,,,,,,관리부 정규직 모집 공고,,
어드바이저,1,,,024302 머천다이저(MD),813212 레이저 절단원,029302 통계·설문 조사원(슈퍼바이저 포함),폭스바겐 해운대 AS (어드바이저),,
조선기자재,1,,,824104 조선용접원(조선취부사 포함),613202 건설자재 영업원,414200 사진기자 및 사진사,[외국계 기업] Service Engineer 신입/경력 채용,,
유압엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),,,[외국계 기업] Service Engineer 신입/경력 채용,,
프로덕트엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),133206 게임 프로그래머,133205 네트워크 프로그래머,[부산/경력 2년 이상] 코어셀 - 프로덕트 엔지니어,,
근무직원,1,,,,,,(주)듀델코리아 본사 근무직원 모집,,
필드서비스엔지니어,1,,,624201 퀵서비스 배달원,"615302 통신서비스 판매원(인터넷,IPTV 가입)",524002 테마파크 서비스원,26년 경력사원 상시 채용 - 필드서비스 엔지니어,,
차단기자재입출고,1,,,613202 건설자재 영업원,414200 사진기자 및 사진사,412001 신문·방송 기자,"현대차단기 대리점 자재입출고,납품검수 외",,
납품검수외단순드릴작,1,,,890002 단순 사상원(용접사상 제외-용접원구분),027208 단순 경리 사무원,624102 배송·납품 운전원(납품영업 포함),"현대차단기 대리점 자재입출고,납품검수 외",,
검수,1,,,028407 창고 관리원(자재 검수원 포함),,,"현대차단기 대리점 자재입출고,납품검수 외",,
사원-과장,1,,,512200 혼례 종사원,158302 비파괴 검사원,902100 낙농 관련 종사원,파크 하얏트 서울 & 안다즈 서울 강남 & 파크 하얏트 부산 각 부문별 신입/경,,
운영지원팀팀장,1,,,012200 경영지원 관리자,012205 기타 경영지원 서비스 관리자,136200 웹 운영자(홈페이지 관리자),[SIIC 부산센터] 운영지원팀 팀장 채용,,
승강기유지보수-신입,1,,,811300 승강기 설치 및 정비원,"811303 기타 승강기 설치·정비원(휠체어리프트, 자동문 포함)",705200 철로 설치 및 보수원,엘리베이터 승강기 유지보수 (신입/경력),,
승강기유지보수-경력,1,,,811300 승강기 설치 및 정비원,"811303 기타 승강기 설치·정비원(휠체어리프트, 자동문 포함)",705200 철로 설치 및 보수원,엘리베이터 승강기 유지보수 (신입/경력),,
원정푸드-배추전처리및무우세척직원모,1,,,853200 재활용 처리 및 소각로 조작원,624902 패스트푸드 배달원,532100 패스트푸드 준비원,(주)원정푸드 - 배추전처리 및 무우세척 직원 모...,,
항만,1,,,,,,부산신항만 내 냉동 컨테이너 관리직(주야근 교대),,
산업디자인,1,,,214401 디자인·캐드 강사,831100 산업 전기공(항공기·선박·철도기관차·전동차 전기공),415501 웹 디자이너,놀이시설물 디자인 경력직 모집,,
환경디자인,1,,,214401 디자인·캐드 강사,564901 환경 감시원,415501 웹 디자이너,놀이시설물 디자인 경력직 모집,,
라이노,1,,,,,,놀이시설물 디자인 경력직 모집,,
파트타이머,1,,,013902 아파트 관리소장,834001 아파트 전기관리원,542001 아파트·빌라 경비원,디프런트데이즈에서 새로운 가족을 모집합니다,,
입시학원,1,,,214205 성인고시·입사시험 학원 강사,"614002 텔레마케터(학원, 학습지, 유학)",622202 관광 및 통근·통학·학원 및 기타 버스 운전원,타블렛 경력무관 모집 공고(계약직),,
상수도관망시설운영관리사,1,,,511300 네일 관리사(손톱 관리사),016200 전기·가스 및 수도 관련 관리자(부서장),413202 기록물 관리사(기록물관리전문요원),상수도관망시설운영관리사 모집,,
디자인pm,1,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,"대한민국 브랜드 성장의 기준, 디자인 PM 동료모집",,
관리팀장,1,,,901502 식물 관리원,542000 건물 관리원,511300 네일 관리사(손톱 관리사),(주)세림에프앤씨 관리팀장 채용 공고를 안내해요,,
재능선생,1,,,,,,부산진구 재능선생님/공부방원장님 모심(주2~3회가능),,
승강기유지보수신입및,1,,,811300 승강기 설치 및 정비원,"811303 기타 승강기 설치·정비원(휠체어리프트, 자동문 포함)",705200 철로 설치 및 보수원,승강기유지보수 신입 및 경력 정규직 모집,,
부팀장급,1,,,,,,"(정규직/경력) 베이사이드GC 운영관리(팀장, 부팀장급) 채용",,
실험실,1,,,902900 기타 축산 및 사육 관련 종사원(양봉·감별·동물원사육·실험동물사육 등),,,인제대학교 의과대학 조교 모집(실험실),,
코디팀장,1,,,029210 병원 코디네이터,531100 주방장 및 요리 연구가(푸드코디네이터 포함),"511900 기타 미용 관련 서비스 종사원(패션코디, 이미지컨설턴트 등)",[ART OF SHINE CLINIC] 코디팀장 경력직 채용,,
쉴낙원홍천,1,,,,,,[웅진프리드라이프] 쉴낙원 김포 장례식장 상례실장 모집,,
양산장례식장상례실장,1,,,512300 장례 상담원 및 장례 지도사,"612106 IT 기술영업원(전산장비,소프트웨어)",,[웅진프리드라이프] 쉴낙원 김포 장례식장 상례실장 모집,,
상례실장,1,,,,,,[웅진프리드라이프] 쉴낙원 김포 장례식장 상례실장 모집,,
재활치료실,1,,,306900 기타 치료·재활사 및 의료기사,306502 작업치료사,306501 물리치료사,세움병원 재활치료실 실장 구인,,
피부과,1,,,511401 피부 및 체형 관리사(발관리사 포함),511400 피부 및 체형 관리사,511402 목욕관리 및 기타 피부미용 종사원,피부과에서 일하실 성실하고 열정있는 피부관리사를 모집합니다,,
frontoffice,1,,,,,,아바니센트럴부산 Front Office 채용,,
브레인나우디렉터,1,,,"623001 크레인 운전원(천정,타워 제외)",623002 천장·타워 크레인 운전원,811401 크레인·호이스트 설치·정비원,[스칸디그룹] 브레인나우 직영 스튜디오 디렉터(원장급) 채용 (부산),,
팀장및팀원,1,,,863200 양장 및 양복 제조원,531100 주방장 및 요리 연구가(푸드코디네이터 포함),621200 선장 및 항해사·도선사,활어 오로시 담당자 채용 (팀장 및 팀원),,
승강기유지보수as,1,,,811300 승강기 설치 및 정비원,"811303 기타 승강기 설치·정비원(휠체어리프트, 자동문 포함)",705200 철로 설치 및 보수원,"승강기(엘리베이터) 유지보수, AS - 신입 및 경력사원 모집",,
국민취업지원제도,1,,,159100 제도사,159106 기타 제도사(캐드원),159102 토목 제도사(캐드원),국민취업지원제도 경상권 관리자채용(총괄팀장) [주식회사 국제커리어],,
총괄팀장,1,,,,,,국민취업지원제도 경상권 관리자채용(총괄팀장) [주식회사 국제커리어],,
cs,1,,,029202 콜센터 상담원(콜센터·고객센터·CS센터),,,온라인 쇼핑몰 운영 관리 CS 주문 데이터 고객 관리,,
버버리세일즈,1,,,,,,[BURBERRY] 세일즈 직원 채용 - 전국,,
관리직사원,1,,,513200 반려동물 관리 종사원,901502 식물 관리원,542000 건물 관리원,관리직 사원,,
클라우드,1,,,136102 네트워크 관리자(클라우딩컴퓨터운영관리자),,,가상화 / 클라우드 엔지니어 모집 (신입/경력),,
구몬선생님,1,,,,,,부산.대구 아이들의 성장을 함께할 구몬선생님 모집합니다 신입.주부가능,,
주거인테리어현장실장,1,,,415301 인테리어 디자이너,"701603 내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)",701901 건설현장반장,아파트 인테리어 현장실장 계약직 모집,,
현장실장,1,,,701901 건설현장반장,140301 토목 현장소장,140201 건축 현장소장,아파트 인테리어 현장실장 계약직 모집,,
기업영업,1,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,koryo. 고려신용정보(주)부산지점 인원모집(정착수수료 지급),,
채권추심,1,,,032502 신용 추심원(채권 관리원),032500 수금원 및 신용 추심원,,koryo. 고려신용정보(주)부산지점 인원모집(정착수수료 지급),,
qps팀장,1,,,,,,[QPS팀장] QPS경력 필,,
해외사업,1,,,612204 해외 영업원(기타 언어권),612203 해외 영업원(일본어),612202 해외 영업원(중국어),[대기업협력사/K-방산]사업관리팀 (국내/해외사업 PM) 담당,,
해외사업pm,1,,,612204 해외 영업원(기타 언어권),612203 해외 영업원(일본어),612202 해외 영업원(중국어),[대기업협력사/K-방산]사업관리팀 (국내/해외사업 PM) 담당,,
내근직,1,,,,,,(신입 / 내근직 1명 모집) 함께할 내근직원 채용합니다,,
의약품입출고,1,,,612107 의약품 영업원(제약 영업원),852303 의약품 생산기계 조작원,"154105 의약품, 농약, 비료 등 기타 석유화학 기술자 및 연구원",의약품 입출고 사원 채용,,
매입담당자,1,,,,,,메르세데스-벤츠 부산남천 인증중고차전시장 매입담당자 모집,,
전기기사,1,,,029600 속기사,416400 촬영기사,831300 외선 전기공,철도관련 케이블 절단 및 커넥트작업(단순작업)(2...,,
1톤,1,,,,,,반여농산물도매시장시장 농협123번 경력 채용 공고,,
오토바이,1,,,029302 통계·설문 조사원(슈퍼바이저 포함),615100 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등),,반여농산물도매시장시장 농협123번 경력 채용 공고,,
디자인팀장,1,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,디자인팀 팀장 (부산),,
scm1팀,1,,,,,,태광후지킨 (tk-fujikin) SCM1팀 신입/경력 채용 공고,,
수신,1,,,,,,(주)명성경매부동산중개법인 경매·공매 매수신청대리 컨설턴트를 찾고 있어요,,
진료실실장,1,,,,,,"새로운 출발,함께할 진료실실장님 구합니다",,
테스트엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),416302 쇼핑호스트,420403 헬스 트레이너,트레스칼코리아 큐엔큐(부산) 교정실무자 정규직 채용,,
지방소멸등,1,,,025901 국가·지방행정 사무원,,,"(주)엔브이(부산)-[공간계획실,역량강화실] 경력직 (팀장)",,
공정관리,1,,,012100 정부 행정 관리자,901502 식물 관리원,542000 건물 관리원,(주)동명 MRO 업무 및 공정관리,,
인테리어현장관리직원,1,,,415301 인테리어 디자이너,"701603 내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)",901502 식물 관리원,인테리어 현장 관리직원모집,,
데스크실장,1,,,029104 데스크 안내원,881104 스크린 인쇄기 조작원(실크스크린 포함),,"새로운 출발,함께할 데스크실장 구합니다",,
핵심운영인력,1,,,136200 웹 운영자(홈페이지 관리자),136101 정보시스템 운영자,231103 사회복지프로그램 운영자,[밴스의원 전국] 실장급 파견코디 충원모집 (핵심운영인력),,
부원장,1,,,,,,어학원 부원장님  모십니다.,,
머신러닝엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),,,Vision AI 팀장(Tech Lead),,
파이썬개발자,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),133300 웹 개발자,521100 여행 상품 개발자,Vision AI 팀장(Tech Lead),,
프로젝트엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),133206 게임 프로그래머,133205 네트워크 프로그래머,[외국계] 누버마리타임 신입 프로젝트엔지니어(PE) - APAC,,
영양실장,1,,,305000 영양사,,,성산현대요양병원 영양실장님을 모시고 있어요,,
전산실장,1,,,029502 전산자료 입력원(약국·판매·대리점),029501 전산자료 입력원(DB·단순자료),029500 전산 자료 입력원,(춘해병원) 전산실장 모집,,
물류기사,1,,,029600 속기사,416400 촬영기사,028408 물류 사무원(물류 관리사),"(주)또하나의가족부산센터  복지용구 소독업무(전동침대,휠체어)",,
탁송기사,1,,,029600 속기사,416400 촬영기사,306700 재활공학 기사(의지보조기기사),"(주)또하나의가족부산센터  복지용구 소독업무(전동침대,휠체어)",,
소독,1,,,,,,"(주)또하나의가족부산센터  복지용구 소독업무(전동침대,휠체어)",,
의료기기영업,1,,,832904 의료기기·장비 설치·수리원,153304 전자의료기기 개발 기술자 및 연구원,612105 의료장비 기술영업원,"의료기기, 의료소모품 부산 지역 영업직 채용 - 신입",,
선박엔진,1,,,812200 선박 정비원,522200 선박 및 열차 객실 승무원,624400 선박 승무원 및 관련 종사원,[상시채용] 중속엔진 Service Team 경력직 모집,,
로고디자인,1,,,415401 광고디자이너,214401 디자인·캐드 강사,415501 웹 디자이너,[센트린] 디자인팀 리더급 채용,,
브랜드디자인,1,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,[센트린] 디자인팀 리더급 채용,,
시각디자인,1,,,415400 시각 디자이너,415406 기타 시각 디자이너,214401 디자인·캐드 강사,[센트린] 디자인팀 리더급 채용,,
영상디자인,1,,,415201 의상 디자이너,214401 디자인·캐드 강사,415501 웹 디자이너,[센트린] 디자인팀 리더급 채용,,
캐릭터디자인,1,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,[센트린] 디자인팀 리더급 채용,,
영업마케팅,1,,,026200 영업 및 마케팅 사무원,024102 마케팅 전문가,012300 마케팅 및 광고‧홍보 관리자(부서장),수산물 국내 영업직 (경력사원) 모집,,
생활체육,1,,,"615502 생활용품 대여원(정수기,가전제품,의복,어린이 용품)",232902 아동 생활지도원,232901 노인 생활지도원,줄넘기 책임원장 및 줄넘기 선생님 모십니다 업계 최고대우,,
책임원장,1,,,011300 기업 대표 및 기업 고위 임원,011200 고위 공무원 및 정당‧특수 단체 임원,,줄넘기 책임원장 및 줄넘기 선생님 모십니다 업계 최고대우,,
약국전산원,1,,,"616102 요금 정산원(주차요금,통행료)",616101 매장 계산원,029502 전산자료 입력원(약국·판매·대리점),전산+약무보조,,
심지한의원데스크업무,1,,,029104 데스크 안내원,301300 한의사,011100 의회 의원,심지한의원 데스크 업무 직원 모집,,
pm(프로젝트매니저),1,,,031200 자산 운용가(펀드매니저),029201 콜센터 매니저,417300 연예인 및 스포츠 매니저,프론티어식품(주) 브랜드 PM 경력 채용 공고,,
건축디자인,1,,,214401 디자인·캐드 강사,140100 건축가(건축설계 포함),701600 건축 목공,종합병원 인테리어 현장 관리 감독자 모집,,
공간디자인,1,,,214401 디자인·캐드 강사,415501 웹 디자이너,415502 게임 디자이너,종합병원 인테리어 현장 관리 감독자 모집,,
2d설계,1,,,158101 소방설계 기술자,140501 도시 계획·설계가,140302 토목구조 설계 기술자,종합병원 인테리어 현장 관리 감독자 모집,,
ai데이터관리,1,,,029300 통계‧데이터 관련 사무원,135200 데이터 분석가(빅데이터 분석가),135102 데이터베이스 운영·관리자,[부산/-3250만/중식/신입O/정규전환]대기업관계사 AI 데이터관리 채용,,
현장기사,1,,,029600 속기사,416400 촬영기사,825100 도장기 조작원,전문건설 현장직 정규직 채용,,
샵마스터,1,,,133900 기타 컴퓨터 시스템 및 소프트웨어 전문가(IT 테스터 및 IT QA 전문가 등),,,미피스토어 부매니져 모집합니다.,,
잡화판매,1,,,"615211 꽃 판매원(플로리스트, 토피어리어 포함)","615212 기타 판매원(사무용품,도서,음반 포함 잡화 등)",615209 가전 판매원(컴퓨터 포함),미피스토어 부매니져 모집합니다.,,
의료기기의료소모품납품및서비스,1,,,832904 의료기기·장비 설치·수리원,307903 기타 보건·의료 서비스 종사원,153304 전자의료기기 개발 기술자 및 연구원,의료기기 및 소모품 납품 및 서비스 직원 모집 (신입/경력),,
영업지원,1,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,외국계 회사 한국법인 YOKE KOREA 물류관리직원 모집,,
온라인판매,1,,,615400 온라인 쇼핑 판매원,"615211 꽃 판매원(플로리스트, 토피어리어 포함)","615212 기타 판매원(사무용품,도서,음반 포함 잡화 등)",외국계 회사 한국법인 YOKE KOREA 물류관리직원 모집,,
자재판매,1,,,"615211 꽃 판매원(플로리스트, 토피어리어 포함)","615212 기타 판매원(사무용품,도서,음반 포함 잡화 등)",615209 가전 판매원(컴퓨터 포함),외국계 회사 한국법인 YOKE KOREA 물류관리직원 모집,,
물류관리직원,1,,,028408 물류 사무원(물류 관리사),901502 식물 관리원,542000 건물 관리원,외국계 회사 한국법인 YOKE KOREA 물류관리직원 모집,,
설비op,1,,,153103 발전설비 기술자,140204 건축설비 기술자,153104 송·배전설비 기술자,(주)담선 CNC 엔지니어 경력 채용 공고,,
공정설계,1,,,158101 소방설계 기술자,140501 도시 계획·설계가,140302 토목구조 설계 기술자,(주)담선 CNC 엔지니어 경력 채용 공고,,
scm,1,,,,,,(주)제이와이코리아 입출고 관리및 관리보조,,
3pl운영,1,,,136200 웹 운영자(홈페이지 관리자),136101 정보시스템 운영자,231103 사회복지프로그램 운영자,(주)제이와이코리아 입출고 관리및 관리보조,,
관리보조,1,,,901502 식물 관리원,823302 주조 보조원(견습공),823102 단조 보조원(견습공),(주)제이와이코리아 입출고 관리및 관리보조,,
haccp,1,,,,,,HACCP관리&amp;실험  (구)선우어묵,,
공정엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),"153102 전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",,Technical team - Application &amp; Support E,,
전기설계,1,,,831203 발전기 설치·정비원,831300 외선 전기공,831201 내선 전기공(건물 내 전기공사원),Technical team - Application &amp; Support E,,
회로설계,1,,,158101 소방설계 기술자,705200 철로 설치 및 보수원,140501 도시 계획·설계가,Technical team - Application &amp; Support E,,
정비기사,1,,,029600 속기사,416400 촬영기사,137000 통신 및 방송 송출 장비 기사,산업용 공기압축기  엔지니어 신입 및 경력직 채용,,
밸브,1,,,,,,버터플라이 밸브 A/S 엔지니어 경력 직원을 모집,,
버터플라이밸브,1,,,813102 플라스틱 금형 제조원,852400 고무 및 플라스틱제품 조립원,852202 플라스틱 압출성형기 조작원,버터플라이 밸브 A/S 엔지니어 경력 직원을 모집,,
폐수처리장관리,1,,,853102 하수·폐수 처리장치 조작원,853101 물펌프·정수 처리장치 조작원,853202 재활용 처리장치 조작원,공동폐수처리장 운영관리 담당자 채용,,
인테리어공사,1,,,415301 인테리어 디자이너,306300 치과기공사,"701603 내장 목공(인테리어 목공 - 나무창호, 주방가구, 싱크대, 인테리어 치장)",주거 인테리어 현장 실장 모집,,
지방소멸,1,,,025901 국가·지방행정 사무원,,,"(주)엔브이(부산 )-[공간계획실, 역량강화실] 경력직 모집(팀장)",,
hmi,1,,,,,,부산)관공서·학교 자동제어 프로젝트 관리자(PM/공사관리) 채용,,
plc,1,,,836003 LCD 부품·제품 조립·검사원,,,부산)관공서·학교 자동제어 프로젝트 관리자(PM/공사관리) 채용,,
관급공사,1,,,306300 치과기공사,250200 위관급 장교,542003 공사현장 경비원,부산)관공서·학교 자동제어 프로젝트 관리자(PM/공사관리) 채용,,
분전반,1,,,,,,부산)관공서·학교 자동제어 프로젝트 관리자(PM/공사관리) 채용,,
모델에이전시,1,,,416200 배우 및 모델,024402 전시·회의 기획자,420501 레크리에이션 전문가,여성의류쇼핑몰 [케이클럽] 피팅모델 프리랜서 모집,,
기계수리,1,,,883102 가구 수리원,862303 기계 자수원,813208 톱기계 조작원,"[외국계기업] 제빙기, 냉장고 AS / 부산",,
설비점검,1,,,153103 발전설비 기술자,140204 건축설비 기술자,564500 대여 제품 방문 점검원,"[외국계기업] 제빙기, 냉장고 AS / 부산",,
마케팅기획,1,,,024102 마케팅 전문가,026200 영업 및 마케팅 사무원,026201 마케팅·광고·홍보·상품기획 사무원,[외국계기업/육휴대체] Marketing 경력 채용 공고,,
마케팅전략,1,,,024102 마케팅 전문가,026200 영업 및 마케팅 사무원,012300 마케팅 및 광고‧홍보 관리자(부서장),[외국계기업/육휴대체] Marketing 경력 채용 공고,,
기업홍보,1,,,024101 광고·홍보 전문가,617101 홍보 도우미 및 판촉원(나레이터 모델 포함),617100 홍보 도우미 및 판촉원,[외국계기업/육휴대체] Marketing 경력 채용 공고,,
콘텐츠마케팅,1,,,024102 마케팅 전문가,416800 미디어 콘텐츠 창작자,026200 영업 및 마케팅 사무원,[외국계기업/육휴대체] Marketing 경력 채용 공고,,
상하차,1,,,853100 상하수도 처리 장치 조작원,"703101 건축 배관공(옥내급수관,상하수배관,위생 배관)",,[해운대/주5일] 기물관리 식기세척 직원채용(오전/오후),,
기계기사,1,,,029600 속기사,416400 촬영기사,862303 기계 자수원,디지털 커팅장비 엔지니어 모집,,
건설관리,1,,,016100 건설 및 광업 관련 관리자(부서장),701900 기타 건설 관련 기능 종사원,028507 품질관리 사무원(건설),철거공사(비계구조물해체공사업) 현장관리자 및 현장관련업무직,,
자바개발자,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),133300 웹 개발자,521100 여행 상품 개발자,[부산오피스] 시니어 소프트 엔지니어 (7년 이상),,
c++개발자,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),133300 웹 개발자,521100 여행 상품 개발자,[부산오피스] 시니어 소프트 엔지니어 (7년 이상),,
전기엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),831300 외선 전기공,831201 내선 전기공(건물 내 전기공사원),Chief Engineer (수석 엔지니어),,
설비엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),153103 발전설비 기술자,140204 건축설비 기술자,Chief Engineer (수석 엔지니어),,
기계엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),862303 기계 자수원,813208 톱기계 조작원,Chief Engineer (수석 엔지니어),,
수석엔지니어,1,,,133301 웹 개발자(웹 엔지니어·웹 프로그래머),,,Chief Engineer (수석 엔지니어),,
sc,1,,,,,,2026년 하반기 신입사원 공개채용,,
정육팀장,1,,,872102 정육원,872100 정육 가공원 및 도축원,,[부산 북구 금곡동] 하나로마트 부산점 정육팀장 모집,,
금융영업,1,,,613904 기타 영업원,613900 기타 영업원,613200 제품 영업원,[부산/울산] JB우리캐피탈 중고승용 여신 영업직 채용,,
자동차금융,1,,,817100 자동차 조립원(검사원 포함),812404 자동차 튜닝원,812400 자동차 정비원,[부산/울산] JB우리캐피탈 중고승용 여신 영업직 채용,,
여신,1,,,,,,[부산/울산] JB우리캐피탈 중고승용 여신 영업직 채용,,
잡매니저,1,,,029201 콜센터 매니저,417300 연예인 및 스포츠 매니저,031200 자산 운용가(펀드매니저),[부산지사 : 부산/경남] 아웃소싱 관리직 모집(신입),,
3d매핑,1,,,159105 3D 프린팅 제도사,,,[부산] 온라인 게임개발자 전분야 모집,,
