공고ID,직종코드,메모
KR2026090700033988,027100,Claude 수작업 — 회계 사무원
KR2026090700034098,513200,Claude 수작업 — 반려동물 관리 종사원
KR2026090700034354,029100,Claude 수작업 — 안내·접수원 및 전화교환원
KR2026090700034467,612102,Claude 수작업 — 기계장비 기술영업원
KR2026090700034506,026504,Claude 수작업 — 대학 행정조교
KR2026090700034581,214101,Claude 수작업 — 영어 강사
KR2026090700034600,624500,Claude 수작업 — 하역 및 적재 단순 종사원
KR2026090700034732,121200,Claude 수작업 — 자연과학 시험원
KR2026090700034820,029903,Claude 수작업 — 사무 보조원(공공기관)
KR2026090700034843,029502,Claude 수작업 — 전산자료 입력원(약국·판매·대리점)
KR2026090700034899,151100,Claude 수작업 — 기계공학 기술자 및 연구원
KR2026090700034916,029500,Claude 수작업 — 전산 자료 입력원
KR2026090700035087,615100,Claude 수작업 — 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등)
KR2026090700035892,032502,Claude 수작업 — 신용 추심원(채권 관리원)
KR2026090700036059,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700036177,890000,Claude 수작업 — 기타 제조 관련 단순 종사원
KR2026090700036318,512100,Claude 수작업 — 결혼 상담원 및 웨딩플래너
KR2026090700036399,214101,Claude 수작업 — 영어 강사
KR2026090700036402,813200,Claude 수작업 — 금속 공작기계 조작원
KR2026090700036477,3,Claude 수작업 — 상위 3자리
KR2026090700036480,151106,Claude 수작업 — 조선·해양공학 기술자 및 연구원
KR2026090700036540,029203,Claude 수작업 — 고객 상담원(학원·학습지·유학·이민)
KR2026090700036640,232200,Claude 수작업 — 보육 관련 시설 돌봄 종사원
KR2026090700036689,701904,"Claude 수작업 — 기타 건설 기능원(건물해체,정화조설치,방음벽설치 등)"
KR2026090700036717,026501,Claude 수작업 — 총무 및 일반 사무원
KR2026090700036748,026506,Claude 수작업 — 기숙사사감 및 독서실·고시원 총무
KR2026090700036752,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700036826,029210,Claude 수작업 — 병원 코디네이터
KR2026090700036885,029500,Claude 수작업 — 전산 자료 입력원
KR2026090700036894,214101,Claude 수작업 — 영어 강사
KR2026090700036916,901502,Claude 수작업 — 식물 관리원
KR2026090700037072,026100,Claude 수작업 — 경영 기획 사무원
KR2026090700037206,622200,Claude 수작업 — 버스 운전원
KR2026090700037232,8,Claude 수작업 — 상위 8자리
KR2026090700037297,026300,Claude 수작업 — 인사 및 노무 사무원
KR2026090700037349,550102,Claude 수작업 — 재가 요양보호사
KR2026090700037374,564300,Claude 수작업 — 주차 관리원 및 안내원
KR2026090700037576,026300,Claude 수작업 — 인사 및 노무 사무원
KR2026090700037577,153301,Claude 수작업 — 전자부품 개발 기술자 및 연구원
KR2026090700037591,414900,Claude 수작업 — 기타 시각 및 공연 예술가
KR2026090700037655,133100,Claude 수작업 — 시스템 소프트웨어 개발자
KR2026090700037659,032502,Claude 수작업 — 신용 추심원(채권 관리원)
KR2026090700037944,82,Claude 수작업 — 상위 82자리
KR2026090700038198,028500,Claude 수작업 — 생산 및 품질관리 사무원
KR2026090700038247,612100,Claude 수작업 — 기술 영업원
KR2026090700038266,832906,Claude 수작업 — 영상·음향기기 등 기타 전기·전자 기기 설치·수리원
KR2026090700038346,028201,Claude 수작업 — 도로 운송 사무원(배차사무 포함)
KR2026090700041904,026201,Claude 수작업 — 마케팅·광고·홍보·상품기획 사무원
KR2026090700042645,026100,Claude 수작업 — 경영 기획 사무원
KR2026090700044275,028408,Claude 수작업 — 물류 사무원(물류 관리사)
KR2026090700047302,026100,Claude 수작업 — 경영 기획 사무원
KR2026090700057694,029104,Claude 수작업 — 데스크 안내원
KR2026090700059688,032502,Claude 수작업 — 신용 추심원(채권 관리원)
KR2026090700066490,029204,Claude 수작업 — 고객 상담원(금융·보험·부동산)
KR2026090700067105,3,Claude 수작업 — 상위 3자리
KR2026090700069968,029104,Claude 수작업 — 데스크 안내원
KR2026090700071434,032502,Claude 수작업 — 신용 추심원(채권 관리원)
KR2026090700074431,701900,Claude 수작업 — 기타 건설 관련 기능 종사원
KR2026090700075086,614000,Claude 수작업 — 텔레마케터
KR2026090700075501,624101,유제명 직접 — 일반 택배원(퀵서비스 제외)
KR2026090700081601,307500,Claude 수작업 — 간호조무사
KR2026090700085823,029202,Claude 수작업 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700089230,615100,Claude 수작업 — 소규모 상점 경영 및 일선 관리 종사원(매장매니저·매장슈퍼바이저 등)
KR2026090700089993,624500,Claude 수작업 — 하역 및 적재 단순 종사원
KR2026090700091650,140201,유제명 직접 — 건축 현장소장
KR2026090700093063,029202,Claude 수작업 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700094321,029202,Claude 수작업 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700096824,532202,Claude 수작업 — 일반 음식점 접객서빙원
KR2026090700097301,615201,Claude 수작업 — 백화점 판매원
KR2026090700107208,029103,Claude 수작업 — 호텔·콘도·숙박시설 프론트 사무원
KR2026090700109344,029202,Claude 수작업 — 콜센터 상담원(콜센터·고객센터·CS센터)
KR2026090700121067,028408,유제명 직접 — 물류 사무원(물류 관리사)
KR2026090700121638,4,Claude 수작업 — 상위 4자리
KR2026090700122929,013500,Claude 수작업 — 사회복지 관련 관리자(부서장)
KR2026090700122930,013500,Claude 수작업 — 사회복지 관련 관리자(부서장)
KR2026090700124331,028408,Claude 수작업 — 물류 사무원(물류 관리사)
KR2026090700129378,832906,Claude 수작업 — 영상·음향기기 등 기타 전기·전자 기기 설치·수리원
KR2026090700135896,026300,Claude 수작업 — 인사 및 노무 사무원
KR2026090700139569,532201,Claude 수작업 — 호텔·레스토랑 웨이터·웨이트리스
KR2026090700142010,415200,유제명 직접 — 패션 디자이너
KR2026090700142100,015102,유제명 직접 — 판매 관리자(소규모 판매점장 제외)
KR2026090700142133,420403,Claude 수작업 — 헬스 트레이너
KR2026090700142144,031900,"유제명 직접 — 기타 금융 및 보험 관련 전문가(금융 컨설턴트, PB 등)"
KR2026090700142157,415502,Claude 수작업 — 게임 디자이너
KR2026090700142169,561101,"Claude 수작업 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700142261,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142276,550102,Claude 수작업 — 재가 요양보호사
KR2026090700142359,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142362,550102,Claude 수작업 — 재가 요양보호사
KR2026090700142393,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142396,550102,Claude 수작업 — 재가 요양보호사
KR2026090700142422,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142435,026202,유제명 직접 — 영업 기획·관리·지원 사무원
KR2026090700142438,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142448,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142451,561101,"유제명 직접 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700142456,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142457,013903,Claude 수작업 — 빌딩 관리소장
KR2026090700142485,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142497,561100,Claude 수작업 — 건물 청소원
KR2026090700142502,014300,유제명 직접 — 환경·청소 및 경비 관련 관리자
KR2026090700142503,013903,유제명 직접 — 빌딩 관리소장
KR2026090700142508,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142525,561101,"Claude 수작업 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700142548,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142551,561101,"Claude 수작업 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700142581,305000,Claude 수작업 — 영양사
KR2026090700142584,834002,Claude 수작업 — 빌딩 전기관리원
KR2026090700142589,550102,Claude 수작업 — 재가 요양보호사
KR2026090700142591,013903,Claude 수작업 — 빌딩 관리소장
KR2026090700142596,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142603,615201,유제명 직접 — 백화점 판매원
KR2026090700142609,904100,Claude 수작업 — 양식원
KR2026090700142631,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142642,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142653,152100,유제명 직접 — 금속·재료공학 기술자 및 연구원
KR2026090700142682,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142686,231100,유제명 직접 — 사회복지사
KR2026090700142692,232903,유제명 직접 — 장애인 생활지도원(장애인활동보조원 포함)
KR2026090700142702,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142706,550100,유제명 직접(요양·간병 재조정) — 요양보호사(일반) / 주간보호센터
KR2026090700142721,561101,"유제명 직접 — 건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)"
KR2026090700142741,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142744,550102,유제명 직접(요양·간병 재조정) — 재가 요양보호사 / 방문요양
KR2026090700142745,550102,Claude 수작업 — 재가 요양보호사
KR2026090700161174,813200,Claude 수작업 — 금속 공작기계 조작원
KR2026090700161194,811300,Claude 수작업 — 승강기 설치 및 정비원
KR2026090700161195,811300,Claude 수작업 — 승강기 설치 및 정비원
KR2026090700015518,532202,규칙 F&B-브런치 — «브런치파트» — 일반 음식점 접객서빙원
KR2026090700015671,032300,규칙 POS-GA내근 — «GA보험대리점 내근직원» — 보험 심사원 및 사무원
KR2026090700016735,013903,규칙 POS-시설팀장 — «시설팀장» — 건물 시설관리 책임자 = 빌딩 관리소장
KR2026090700017140,15,규칙 ENG-방산 — «방위산업 엔지니어» — 기계·전기 공학기술직. 중분류 15까지만
KR2026090700017602,532202,규칙 MGR-홀 — «홀 서비스·홀파트 매니져» — 일반 음식점 접객서빙원
KR2026090700018166,026201,규칙 MED-대외 — «대외협력팀 팀장» — 병원 대외협력 = 마케팅·홍보 사무
KR2026090700018502,611000,규칙 POS-부동산 — 부동산중개업 «실장·팀장» — 부동산 컨설턴트 및 중개사
KR2026090700018716,033200,규칙 POS-보험팀장 — «손해보험 팀장» — 보험 모집인 및 투자 권유 대행인
KR2026090700019001,83,규칙 FIX-전기업종 — «엔지니어» + 전기·전자·제어 업종 — 전기·전자 설치·정비. 중분류 83까지만
KR2026090700019165,029501,규칙 POS-입력 — «접수정보입력 팀장» — 전산자료 입력원(DB·단순자료)
KR2026090700019670,029104,규칙 STF-의전 — «공항 VIP 의전·컨시어지 전담직원» — 데스크 안내원
KR2026090700019980,511500,규칙 POS-메이크업 — «웨딩드레스샵 메이크업 실장» — 메이크업 아티스트 및 분장사
KR2026090700020304,024301,규칙 STF-AMD — «이커머스 운영담당자(AMD)» = Assistant Merchandiser — 상품 기획자
KR2026090700020404,222001,규칙 POS-법률 — «개인회생·개인파산 팀장» — 법률 사무원(법무사무소)
KR2026090700020453,024301,규칙 STF-AMD — «이커머스 운영담당자(AMD)» = Assistant Merchandiser — 상품 기획자
KR2026090700020489,414200,규칙 POS-스튜디오 — «스튜디오 실장» + 포토그래퍼 모집 — 사진기자 및 사진사
KR2026090700020492,414200,규칙 POS-스튜디오 — «스튜디오 실장» + 포토그래퍼 모집 — 사진기자 및 사진사
KR2026090700020494,414200,규칙 POS-스튜디오 — «스튜디오 실장» + 포토그래퍼 모집 — 사진기자 및 사진사
KR2026090700020634,153102,규칙 ENG-제어 — «PLC·모션제어·머신비전» — 전기계측 제어 기술자(공정자동화)
KR2026090700021673,611000,규칙 POS-부동산 — 부동산중개업 «실장·팀장» — 부동산 컨설턴트 및 중개사
KR2026090700021871,615100,규칙 MGR-매장 — «매장 부매니져 / 샵마스터» — 소규모 상점 경영 및 일선 관리 종사원
KR2026090700022341,871100,규칙 F&B-베이커리 — «베이커리 팀원» — 제과원 및 제빵사
KR2026090700022770,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700022999,026501,규칙 POS-관리팀 — «관리팀장·운영지원팀장» — 총무 및 일반 사무원
KR2026090700023218,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700023228,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
KR2026090700023321,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700023784,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700023799,81,규칙 FIX-필드 — «필드/서비스 엔지니어» — 장비 설치·정비. 중분류 81까지만
KR2026090700023948,026502,규칙 MED-원무 — «원무팀장» — 원무 = 병원행정 사무원(원무)
KR2026090700023971,617901,규칙 STF-재고 — «마트 재고 조사» — 매장 정리원(매장 보조원)
KR2026090700024125,014102,규칙 POS-수영장 — «수영장 팀장(관리자)» — 스포츠 관리자
KR2026090700024161,81,규칙 FIX-BWMS — «BWMS/BWTS 서비스 엔지니어» — 선박 기계장비 설치·정비. 중분류 81까지만
KR2026090700024177,026400,규칙 STF-훈련센터 — «공동훈련센터 전담직원» — 교육 및 훈련 사무원
KR2026090700024182,026501,규칙 POS-관리팀 — «관리팀장·운영지원팀장» — 총무 및 일반 사무원
KR2026090700024689,014100,규칙 POS-골프 — «골프장 운영팀장» — 숙박·여행·오락 및 스포츠 관련 관리자
KR2026090700024927,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700025016,026505,규칙 STF-상의 — «상공회의소 신입직원» — 협회·회원단체 사무원
KR2026090700025537,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700025598,701603,규칙 FLD-인테리어 — «인테리어 현장직원» — 내장 목공(인테리어 목공)
KR2026090700025619,831201,규칙 FLD-내선전공 — «내선전공 현장직원» — 내선 전기공(건물 내 전기공사원)
KR2026090700025955,026501,규칙 POS-관리팀 — «관리팀장·운영지원팀장» — 총무 및 일반 사무원
KR2026090700026636,811300,규칙 FIX-승강기 — «승강기 유지관리 엔지니어» — 승강기 설치 및 정비원
KR2026090700026785,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700026824,014100,규칙 POS-골프 — «골프장 운영팀장» — 숙박·여행·오락 및 스포츠 관련 관리자
KR2026090700027230,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700027237,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700027255,153102,규칙 ENG-제어 — «PLC·모션제어·머신비전» — 전기계측 제어 기술자(공정자동화)
KR2026090700027257,153102,규칙 ENG-제어 — «PLC·모션제어·머신비전» — 전기계측 제어 기술자(공정자동화)
KR2026090700027260,214101,규칙 POS-영어 — «영어 전임 고등부 팀장급» — 영어 강사
KR2026090700027425,512300,규칙 POS-장례 — «장례식장 상례실장» — 장례 상담원 및 장례 지도사
KR2026090700027435,136102,규칙 IT-네트워크 — «NETWORK 엔지니어» — 네트워크 운영·관리
KR2026090700027497,306501,규칙 MED-재활 — «재활치료실 실장» — 재활치료실 = 물리치료사
KR2026090700027558,029104,규칙 STF-의전 — «공항 VIP 의전·컨시어지 전담직원» — 데스크 안내원
KR2026090700027789,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
KR2026090700028035,531500,규칙 POS-오로시 — «활어 오로시 담당자» — 활어 손질 = 일식 조리사
KR2026090700028046,81,규칙 FIX-BWMS — «BWMS/BWTS 서비스 엔지니어» — 선박 기계장비 설치·정비. 중분류 81까지만
KR2026090700028269,532202,규칙 MGR-홀 — «홀 서비스·홀파트 매니져» — 일반 음식점 접객서빙원
KR2026090700028288,231400,규칙 POS-취업 — «국민취업지원제도 총괄팀장» — 직업 관련 상담사. 고용24 정답 3건이 모두 231400 이다(취업 알선원 029212 아님)
KR2026090700028522,832904,규칙 FIX-의료기기 — «의료기기 로봇/필드 엔지니어» — 의료기기·장비 설치·수리원
KR2026090700028651,136102,규칙 IT-클라우드 — «클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자)
KR2026090700028758,136102,규칙 IT-클라우드 — «클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자)
KR2026090700028837,613903,규칙 POS-상조 — «상조 운영 팀장» — 상조·렌탈·회원모집 영업원
KR2026090700028877,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700028928,812400,규칙 FIX-자동차 — «자동차 A/S 엔지니어» — 자동차 정비원
KR2026090700028949,83,규칙 FIX-전력인프라 — «데이터센터 전력 인프라 유지보수» — 전기·전자 설치·정비. 중분류 83까지만
KR2026090700028992,016900,규칙 POS-인테현장 — «인테리어 현장실장» — 현장 시공 관리자. 고용24 정답에서 «현장관리자» 는 016900·014302 처럼 관리자로 붙는다(기술자 140203 아님)
KR2026090700029121,15,규칙 ENG-PM — «기술 프로젝트 매니져» + 기계 업종 — 공학기술직. 중분류 15까지만
KR2026090700029168,307600,규칙 MED-QPS — «QPS» = Quality & Patient Safety — 환자안전 관리사
KR2026090700029237,30,규칙 MED-진료실 — «진료실 실장» — 진료 보조. 간호조무사/치과위생사 구분 불가 → 중분류 30
KR2026090700029464,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700029480,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700030019,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700030282,41,규칙 POS-디자인팀 — «디자인팀 팀장» + 방송 업종 — 디자인직. 중분류 41까지만
KR2026090700030317,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700030747,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700030757,30,규칙 MED-진료실 — «진료실 실장» — 진료 보조. 간호조무사/치과위생사 구분 불가 → 중분류 30
KR2026090700030785,153400,규칙 ENG-교정 — «교정실무자» — 계측기 교정·시험 = 전기·전자공학 시험원
KR2026090700030892,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700030908,140501,규칙 POS-도시재생 — «공간계획실 팀장» + 도시·농촌재생 — 도시 계획·설계가
KR2026090700031117,83,규칙 FIX-전기업종 — «엔지니어» + 전기·전자·제어 업종 — 전기·전자 설치·정비. 중분류 83까지만
KR2026090700031206,83,규칙 FIX-전기업종 — «엔지니어» + 전기·전자·제어 업종 — 전기·전자 설치·정비. 중분류 83까지만
KR2026090700031307,832204,규칙 FIX-정수기 — «교원웰스 엔지니어» — 정수기·냉온수기 설치 및 수리원
KR2026090700031392,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700031624,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
KR2026090700031653,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700031716,841100,규칙 IT-PC정비 — «PC IT 유지보수 엔지니어» — 컴퓨터 설치 및 수리원(A/S)
KR2026090700031720,832906,규칙 FIX-내비 — «아이나비 서비스센터 엔지니어» — 영상·음향기기 등 설치·수리원
KR2026090700031762,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700031824,615100,규칙 POS-농산팀 — «마트 농산팀 팀장» — 소규모 상점 경영 및 일선 관리 종사원(매장매니저)
KR2026090700031837,158400,규칙 POS-EHS — «EHS팀 팀장» = Environment·Health·Safety — 산업안전 및 산업위험 관리 기술자
KR2026090700031922,026502,규칙 MED-원무 — «원무팀장» — 원무 = 병원행정 사무원(원무)
KR2026090700032133,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700032157,013903,규칙 POS-시설팀장 — «시설팀장» — 건물 시설관리 책임자 = 빌딩 관리소장
KR2026090700032279,136102,규칙 IT-클라우드 — «클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자)
KR2026090700032316,83,규칙 FIX-항해통신 — «항해 통신 엔지니어» — 선박 통신장비 설치·정비. 중분류 83까지만
KR2026090700032333,136102,규칙 IT-클라우드 — «클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자)
KR2026090700032574,561102,규칙 POS-어메니티 — «레지던스 어메니티 팀장» — 호텔·콘도·숙박시설 청소원(하우스키핑)
KR2026090700032689,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700032701,81,규칙 FIX-기계업종 — «엔지니어» + 기계·조선 업종 — 기계장비 설치·정비. 중분류 81까지만
KR2026090700032889,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700032890,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700032903,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700032976,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700032982,136102,규칙 IT-클라우드 — «클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자)
KR2026090700033097,305000,규칙 MED-영양 — «영양실장» — 병원 영양실 책임자 = 영양사
KR2026090700033146,415300,규칙 POS-인테디자인 — «인테리어 디자인 팀장» — 실내장식 디자이너
KR2026090700033314,151100,규칙 ENG-CAE — «구조해석 CAE 엔지니어» — 기계공학 기술자 및 연구원
KR2026090700033438,13,규칙 MED-전산 — «전산실장» — 병원 전산실 = 정보시스템 운영. 중분류 13까지만
KR2026090700033512,029210,규칙 MED-코디 — 의료기관 «데스크·상담·총괄 실장» / «코디팀장» — 병원 코디네이터
KR2026090700033513,83,규칙 FIX-항해통신 — «항해 통신 엔지니어» — 선박 통신장비 설치·정비. 중분류 83까지만
KR2026090700033649,81,규칙 FIX-BWMS — «BWMS/BWTS 서비스 엔지니어» — 선박 기계장비 설치·정비. 중분류 81까지만
KR2026090700033682,136102,규칙 IT-클라우드 — «클라우드·가상화·IT인프라 엔지니어» — 네트워크 관리자(클라우드컴퓨팅 운영관리자)
KR2026090700033714,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700033722,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700033731,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700033783,028408,규칙 POS-포워딩 — «포워딩 팀장» — 물류 사무원(물류 관리사)
KR2026090700033935,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700033942,13,규칙 IT-일본상위 — «상위공정»(上流工程) — 일본 IT 설계공정. 중분류 13까지만
KR2026090700033992,151108,규칙 ENG-차량 — «차량실험/인증 엔지니어» — 자동차공학 기술자 및 연구원
KR2026090700033993,151108,규칙 ENG-차량 — «차량실험/인증 엔지니어» — 자동차공학 기술자 및 연구원
KR2026090700034004,13,규칙 IT-차량통신 — «차량용 통신 엔지니어» (FESCARO=차량 보안 SW) — 중분류 13까지만
KR2026090700034011,13,"규칙 IT-일반 — IT 한정어(AI·솔루션·플랫폼·백엔드 등) — KECO 세세분류 대응 항목 없음, 중분류 13까지만"
KR2026090700034014,029210,규칙 MED-오사카 — «클리닉 총괄실장» — 병원 코디네이터
KR2026090700035337,81,규칙 FIX-BWMS — «BWMS/BWTS 서비스 엔지니어» — 선박 기계장비 설치·정비. 중분류 81까지만
KR2026090700035893,615100,규칙 MGR-매장 — «매장 부매니져 / 샵마스터» — 소규모 상점 경영 및 일선 관리 종사원
KR2026090700036232,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
KR2026090700036468,15,규칙 ENG-CNC — «CNC 엔지니어 / 공정설계» — 기계 공학기술직. 중분류 15까지만
KR2026090700036724,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
KR2026090700036750,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
KR2026090700036836,016900,규칙 POS-인테현장 — «인테리어 현장실장» — 현장 시공 관리자. 고용24 정답에서 «현장관리자» 는 016900·014302 처럼 관리자로 붙는다(기술자 140203 아님)
KR2026090700036872,140501,규칙 POS-도시재생 — «공간계획실 팀장» + 도시·농촌재생 — 도시 계획·설계가
KR2026090700037817,81,규칙 FIX-장비 — 장비명 + «A/S·서비스 엔지니어» — 기계장비 설치·정비. 중분류 81까지만. 장비명만으로는 못 붙인다 — 고용24 정답에 «원광밸브(주) 영업관리»(사무직) 처럼 회사명에 장비명이 든 공고가 있다
